model_id,family,cancer_type,endpoint,outcome_type,n,positive,negative,ncomp,tier,file,sha256
thorsson__BRCA__Leukocyte_Fraction,thorsson,BRCA,Leukocyte Fraction,continuous,1026,,,8,A,models/thorsson__BRCA__Leukocyte_Fraction.rds,0f8cd274d6adca87d4040923c76c4f4aece01850816156833c7dbf74360de04b
thorsson__BRCA__Lymphocyte_Infiltration_Signature_Score,thorsson,BRCA,Lymphocyte Infiltration Signature Score,continuous,1039,,,6,A,models/thorsson__BRCA__Lymphocyte_Infiltration_Signature_Score.rds,13e2e5e2b8ffd079517ec85a11ebbc1ddb58a152fa209cb1c1c01b0a25103584
thorsson__BRCA__Macrophage_Regulation,thorsson,BRCA,Macrophage Regulation,continuous,1039,,,8,B,models/thorsson__BRCA__Macrophage_Regulation.rds,bf5c915ce4b53f1dc0de25f8e8dc8d59afcbb37867c7c69fad608688362946c1
thorsson__BRCA__Number_of_Segments,thorsson,BRCA,Number of Segments,continuous,1025,,,5,B,models/thorsson__BRCA__Number_of_Segments.rds,8c5653e69253e245c350527f7f05f998b5f1f77370b62f37747c25b1a1cc2e32
thorsson__BRCA__Proliferation,thorsson,BRCA,Proliferation,continuous,1039,,,6,A,models/thorsson__BRCA__Proliferation.rds,623ad56f4891cb58926aa1872f3267ec67b01818613e4dd04121944713a94fea
thorsson__BRCA__Stromal_Fraction,thorsson,BRCA,Stromal Fraction,continuous,980,,,6,B,models/thorsson__BRCA__Stromal_Fraction.rds,ddb4cb7bbb4b3de2373dca4d79ae6dddc2f3302d15e284b02517d13dedcfca0a
thorsson__BRCA__TCR_Shannon,thorsson,BRCA,TCR Shannon,continuous,999,,,6,B,models/thorsson__BRCA__TCR_Shannon.rds,405ed47c754e6d7c0e7b3b8abd27a24d3fb07a0c387aa89b61981c3c3f745808
thorsson__BRCA__TGF-beta_Response,thorsson,BRCA,TGF-beta Response,continuous,1039,,,9,B,models/thorsson__BRCA__TGF-beta_Response.rds,8489761ffc5edb6cfb40444ed25213e4ae257550ca136e4b8b404b9d23b38430
thorsson__BRCA__TIL_Regional_Fraction,thorsson,BRCA,TIL Regional Fraction,continuous,942,,,6,A,models/thorsson__BRCA__TIL_Regional_Fraction.rds,c20aad96fbbf5449c302abef9817ef54a35c7f85139ab7934c570e1bf084dc8c
thorsson__BRCA__Wound_Healing,thorsson,BRCA,Wound Healing,continuous,1039,,,6,A,models/thorsson__BRCA__Wound_Healing.rds,25b42086ad16626a5ff0cb16df69fad4baee7901708cfae8e5409f7b62ffe206
thorsson__KIRC__CTA_Score,thorsson,KIRC,CTA Score,continuous,490,,,1,B,models/thorsson__KIRC__CTA_Score.rds,108587f1d395bac8a8ba943337d4a6e0ef77d471d21db30f4be911adcdb9ab8e
thorsson__KIRC__IFN-gamma_Response,thorsson,KIRC,IFN-gamma Response,continuous,492,,,2,B,models/thorsson__KIRC__IFN-gamma_Response.rds,117a55a8e4807435e490f59bf6b6620ec3b6aaacf4554cfd876489217c0013c6
thorsson__KIRC__Leukocyte_Fraction,thorsson,KIRC,Leukocyte Fraction,continuous,493,,,4,B,models/thorsson__KIRC__Leukocyte_Fraction.rds,20c391ed5d0318f52ec14d00f7caccfdaacaec0e6fed1d473f967df64ba7afff
