study,prior_cancer,gene,prior_metric,prior_evidence,prior_note,source_url,current_cancer,current_status,n,positive,negative,current_balanced_accuracy,current_adjusted_balanced_accuracy,current_q,current_tier
Loeffler2022,KIRP,PBRM1,AUROC 0.752,p=0.006,"",https://www.frontiersin.org/journals/genetics/articles/10.3389/fgene.2021.806386/full,KIRP,not_eligible_or_not_tested,,,,,,,
Loeffler2022,LGG,IDH1,AUROC 0.764,p<0.001,"",https://www.frontiersin.org/journals/genetics/articles/10.3389/fgene.2021.806386/full,LGG,recovered_tier_A,490,375,115,0.771652173913044,0.543304347826087,0.0216666666666667,A
Loeffler2022,LGG,TP53,AUROC 0.787,p<0.001,"",https://www.frontiersin.org/journals/genetics/articles/10.3389/fgene.2021.806386/full,LGG,recovered_tier_A,490,232,258,0.830025394279604,0.660050788559209,0.0216666666666667,A
Loeffler2022,LIHC,TP53,AUROC 0.597,p=0.035,"",https://www.frontiersin.org/journals/genetics/articles/10.3389/fgene.2021.806386/full,LIHC,tested_not_supported,364,107,257,0.593894323429943,0.187788646859886,1,C
Loeffler2022,PRAD,SETD2,AUROC 0.895,p=0.005,"",https://www.frontiersin.org/journals/genetics/articles/10.3389/fgene.2021.806386/full,PRAD,not_eligible_or_not_tested,,,,,,,
Loeffler2022,STAD,NOTCH2,AUROC 0.919,p<0.001,"",https://www.frontiersin.org/journals/genetics/articles/10.3389/fgene.2021.806386/full,STAD,not_eligible_or_not_tested,,,,,,,
Loeffler2022,THCA,BRAF,AUROC 0.860,p<0.001,"",https://www.frontiersin.org/journals/genetics/articles/10.3389/fgene.2021.806386/full,THCA,recovered_tier_A,505,289,216,0.827678457003717,0.655356914007433,0.01,A
Loeffler2022,UCEC,KRAS,AUROC 0.653,p<0.001,"",https://www.frontiersin.org/journals/genetics/articles/10.3389/fgene.2021.806386/full,UCEC,tested_not_supported,505,81,424,0.559850337759143,0.119700675518286,1,C
Loeffler2022,UCEC,PTEN,AUROC 0.773,p<0.001,"",https://www.frontiersin.org/journals/genetics/articles/10.3389/fgene.2021.806386/full,UCEC,tested_not_supported,505,261,244,0.737830538282771,0.475661076565543,0.0685714285714286,C
Loeffler2022,UCEC,SETD2,AUROC 0.626,p=0.017,"",https://www.frontiersin.org/journals/genetics/articles/10.3389/fgene.2021.806386/full,UCEC,not_eligible_or_not_tested,,,,,,,
Loeffler2022,UCEC,TP53,AUROC 0.764,p<0.001,"",https://www.frontiersin.org/journals/genetics/articles/10.3389/fgene.2021.806386/full,UCEC,tested_not_supported,505,155,350,0.738571428571429,0.477142857142857,0.0685714285714286,C
