family,subfamily,tumor_type,endpoint,source,n,positive,negative,balanced_accuracy,adjusted_balanced_accuracy,p_permutation,permutations,permutation_exceedances,ncomp,seed,fastPLS_version,permutation_attempted,permutation_stopped_early,q_value,q_value_global,tier
driver_mutation,Bailey_tissue_specific_driver,CESC,KMT2C,TCGA_MC3_Bailey2018,269,47,222,0.53205865439908,0.0641173087981599,1,0,,6,20261092,0.99.20,,,1,1,C
driver_mutation,Bailey_tissue_specific_driver,KIRC,BAP1,TCGA_MC3_Bailey2018,513,35,478,0.532038254632397,0.0640765092647937,1,0,,6,20261131,0.99.20,,,1,1,C
driver_mutation,Bailey_tissue_specific_driver,CESC,PIK3CA,TCGA_MC3_Bailey2018,269,71,198,0.531725707782046,0.0634514155640915,1,0,,10,20261090,0.99.20,,,1,1,C
driver_mutation,Bailey_tissue_specific_driver,LUSC,ARID1A,TCGA_MC3_Bailey2018,477,31,446,0.531570953276436,0.0631419065528713,1,0,,8,20261176,0.99.20,,,1,1,C
driver_mutation,Bailey_tissue_specific_driver,UVM,GNA11,TCGA_MC3_Bailey2018,80,36,44,0.531565656565657,0.0631313131313132,1,0,,5,20261273,0.99.20,,,1,1,C
driver_mutation,Bailey_tissue_specific_driver,UCEC,ATR,TCGA_MC3_Bailey2018,505,51,454,0.531290489764188,0.0625809795283754,1,0,,3,20261253,0.99.20,,,1,1,C
driver_mutation,Bailey_tissue_specific_driver,UCEC,ARHGAP35,TCGA_MC3_Bailey2018,505,82,423,0.530430144726979,0.0608602894539585,1,0,,8,20261231,0.99.20,,,1,1,C
driver_mutation,Bailey_tissue_specific_driver,LUAD,RB1,TCGA_MC3_Bailey2018,468,25,443,0.529841986455982,0.0596839729119638,1,0,,2,20261164,0.99.20,,,1,1,C
driver_mutation,Bailey_tissue_specific_driver,BRCA,MAP3K1,TCGA_MC3_Bailey2018,1054,62,992,0.529737903225807,0.059475806451613,1,0,,7,20261080,0.99.20,,,1,1,C
driver_mutation,Bailey_tissue_specific_driver,PRAD,SPOP,TCGA_MC3_Bailey2018,402,42,360,0.528373015873016,0.0567460317460318,1,0,,8,20261194,0.99.20,,,1,1,C
