stability_repeat,consensus_class,N,outcome_type,threshold,selected_tasks,proportion,mean_tasks,min_tasks,max_tasks,mean_proportion
1,all three,199,continuous,0.25,978,0.203476482617587,188.6,178,199,0.192842535787321
3,all three,186,continuous,0.25,978,0.190184049079755,188.6,178,199,0.192842535787321
1,exactly two,97,continuous,0.26,978,0.0991820040899796,95.8,91,101,0.0979550102249489
2,exactly two,96,continuous,0.26,978,0.098159509202454,95.8,91,101,0.0979550102249489
3,exactly two,91,continuous,0.26,978,0.0930470347648262,95.8,91,101,0.0979550102249489
4,representation specific,210,continuous,0.26,978,0.214723926380368,205,196,210,0.20961145194274
5,all three,162,continuous,0.26,978,0.165644171779141,170.8,162,176,0.174642126789366
1,none,498,continuous,0.26,978,0.50920245398773,506.4,498,512,0.517791411042945
2,none,512,continuous,0.26,978,0.523517382413088,506.4,498,512,0.517791411042945
3,none,508,continuous,0.26,978,0.519427402862986,506.4,498,512,0.517791411042945
