family,tumor_type,endpoint,n,multi_slide_patients,mean_pool_q2,first_slide_q2,delta_first_minus_mean,seed,backend,svd_method,rsvd_oversample,rsvd_power
rna_pathway_activity,PAAD,HALLMARK_INFLAMMATORY_RESPONSE,176,8,0.429858966195112,0.422485510094342,-0.00737345610077045,20262690,cpu,rsvd,32,5
rna_pathway_activity,BLCA,HALLMARK_IL6_JAK_STAT3_SIGNALING,382,26,0.428819282136176,0.412945189538988,-0.015874092597188,20260990,cpu,rsvd,32,5
rna_pathway_activity,STAD,HALLMARK_MTORC1_SIGNALING,354,24,0.427537524583674,0.438325576084464,0.0107880515007898,20263336,cpu,rsvd,32,5
rna_pathway_activity,TGCT,HALLMARK_OXIDATIVE_PHOSPHORYLATION,149,63,0.42719619449295,0.453848628551276,0.0266524340583262,20263448,cpu,rsvd,32,5
rna_pathway_activity,LUAD,HALLMARK_MTORC1_SIGNALING,462,20,0.425964532358423,0.425557607504839,-0.000406924853583956,20262272,cpu,rsvd,32,5
rna_pathway_activity,ACC,HALLMARK_BILE_ACID_METABOLISM,55,44,0.423122377735434,0.355814985544111,-0.0673073921913232,20260866,cpu,rsvd,32,5
rna_pathway_activity,UVM,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,80,0,0.422794531499858,0.422794531499858,-3.33066907387547e-16,20263974,cpu,rsvd,32,5
rna_pathway_activity,BRCA,HALLMARK_ALLOGRAFT_REJECTION,1052,66,0.422278523709595,0.412924179886061,-0.00935434382353356,20261076,cpu,rsvd,32,5
rna_pathway_activity,BLCA,HALLMARK_INFLAMMATORY_RESPONSE,382,26,0.422128928273605,0.407244823291233,-0.0148841049823715,20260991,cpu,rsvd,32,5
rna_pathway_activity,HNSC,HALLMARK_SPERMATOGENESIS,442,18,0.420978458475509,0.419950078657192,-0.00102837981831733,20261650,cpu,rsvd,32,5
rna_pathway_activity,TGCT,HALLMARK_INFLAMMATORY_RESPONSE,149,63,0.420894094634732,0.396215285393216,-0.0246788092415156,20263437,cpu,rsvd,32,5
rna_pathway_activity,ACC,HALLMARK_G2M_CHECKPOINT,55,44,0.420450611782487,0.468810945895454,0.0483603341129673,20260876,cpu,rsvd,32,5
rna_pathway_activity,THYM,HALLMARK_E2F_TARGETS,117,7,0.417839431560895,0.404698567453686,-0.0131408641072086,20263636,cpu,rsvd,32,5
rna_pathway_activity,THCA,HALLMARK_ESTROGEN_RESPONSE_LATE,503,12,0.417439200428004,0.416493912687987,-0.00094528774001712,20263535,cpu,rsvd,32,5
rna_pathway_activity,KIRC,HALLMARK_ALLOGRAFT_REJECTION,510,4,0.415526611361524,0.415703671834615,0.000177060473090851,20261817,cpu,rsvd,32,5
rna_pathway_activity,LGG,HALLMARK_ANGIOGENESIS,490,108,0.413036275950029,0.403058600162368,-0.00997767578766096,20262030,cpu,rsvd,32,5
rna_pathway_activity,BLCA,HALLMARK_INTERFERON_GAMMA_RESPONSE,382,26,0.411898401166374,0.398858103184198,-0.013040297982176,20260993,cpu,rsvd,32,5
rna_pathway_activity,GBM,HALLMARK_IL2_STAT5_SIGNALING,96,45,0.411061964100893,0.322385450684745,-0.0886765134161481,20261523,cpu,rsvd,32,5
rna_pathway_activity,GBM,HALLMARK_COMPLEMENT,96,45,0.408420078113917,0.308342761699226,-0.100077316414691,20261511,cpu,rsvd,32,5
rna_pathway_activity,PAAD,HALLMARK_APICAL_JUNCTION,176,8,0.407708371019459,0.389530340309455,-0.0181780307100042,20262670,cpu,rsvd,32,5
rna_pathway_activity,TGCT,REACTOME_GLUTATHIONE_SYNTHESIS_AND_RECYCLING,149,63,0.406982269797061,0.466608042758885,0.0596257729618238,20263463,cpu,rsvd,32,5
rna_pathway_activity,BLCA,HALLMARK_E2F_TARGETS,382,26,0.406724089738495,0.408110952939906,0.00138686320141063,20260979,cpu,rsvd,32,5
rna_pathway_activity,BLCA,HALLMARK_COMPLEMENT,382,26,0.406554227654435,0.393246100394583,-0.013308127259852,20260977,cpu,rsvd,32,5
rna_pathway_activity,STAD,HALLMARK_MYOGENESIS,354,24,0.405281711489348,0.402163469366204,-0.00311824212314382,20263339,cpu,rsvd,32,5
rna_pathway_activity,TGCT,HALLMARK_IL6_JAK_STAT3_SIGNALING,149,63,0.404404889641965,0.299301633149686,-0.105103256492279,20263436,cpu,rsvd,32,5
rna_pathway_activity,TGCT,HALLMARK_PEROXISOME,149,63,0.40332294581,0.40127690953836,-0.00204603627163974,20263451,cpu,rsvd,32,5
rna_pathway_activity,TGCT,HALLMARK_APOPTOSIS,149,63,0.402826245812712,0.365523718520148,-0.0373025272925644,20263419,cpu,rsvd,32,5
rna_pathway_activity,SARC,HALLMARK_APOPTOSIS,252,98,0.402664513862636,0.403049951841213,0.000385437978577152,20263097,cpu,rsvd,32,5
rna_pathway_activity,KIRP,HALLMARK_XENOBIOTIC_METABOLISM,272,11,0.401913326315223,0.398028420838213,-0.00388490547700987,20261972,cpu,rsvd,32,5
rna_pathway_activity,PAAD,HALLMARK_INTERFERON_GAMMA_RESPONSE,176,8,0.400457421959092,0.401173019428692,0.000715597469600315,20262692,cpu,rsvd,32,5
rna_pathway_activity,OV,HALLMARK_MTORC1_SIGNALING,69,1,0.400225629775964,0.404681399640556,0.00445576986459251,20262588,cpu,rsvd,32,5
rna_pathway_activity,BRCA,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,1052,66,0.399753958059557,0.39664323936774,-0.00311071869181651,20261120,cpu,rsvd,32,5
rna_pathway_activity,THCA,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,503,12,0.398741743589999,0.398823059655406,8.13160654072331e-05,20263533,cpu,rsvd,32,5
rna_pathway_activity,GBM,HALLMARK_INFLAMMATORY_RESPONSE,96,45,0.398453643024166,0.345297775846549,-0.0531558671776169,20261525,cpu,rsvd,32,5
rna_pathway_activity,TGCT,HALLMARK_TNFA_SIGNALING_VIA_NFKB,149,63,0.3983959921752,0.341678114720491,-0.056717877454709,20263457,cpu,rsvd,32,5
rna_pathway_activity,KICH,HALLMARK_E2F_TARGETS,65,0,0.39784050124033,0.39784050124033,-4.44089209850063e-16,20261721,cpu,rsvd,32,5
rna_pathway_activity,LIHC,HALLMARK_ALLOGRAFT_REJECTION,358,8,0.397579908968165,0.395985782761859,-0.00159412620630628,20262135,cpu,rsvd,32,5
rna_pathway_activity,TGCT,HALLMARK_INTERFERON_GAMMA_RESPONSE,149,63,0.397332717630411,0.345647101576106,-0.0516856160543054,20263439,cpu,rsvd,32,5
rna_pathway_activity,SARC,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,252,98,0.396150588489941,0.415177272347036,0.0190266838570955,20263104,cpu,rsvd,32,5
rna_pathway_activity,LUSC,HALLMARK_E2F_TARGETS,475,10,0.395123723233277,0.394892028452964,-0.000231694780313318,20262362,cpu,rsvd,32,5
rna_pathway_activity,THCA,HALLMARK_P53_PATHWAY,503,12,0.390745482440123,0.388768677148061,-0.00197680529206185,20263556,cpu,rsvd,32,5
