source,tumor_type,cohort_patients,covered_patients,missing_patients,covered_primary_aliquots,patients_with_multiple_primary_aliquots,maximum_primary_aliquots,aggregation_rule
cBioPortal_TCGA_PanCancer,COAD,433,416,17,416,0,1,mean of finite primary-aliquot scores; patient is missing when all primary-aliquot scores are missing
cBioPortal_TCGA_PanCancer,DLBC,44,44,0,44,0,1,mean of finite primary-aliquot scores; patient is missing when all primary-aliquot scores are missing
cBioPortal_TCGA_PanCancer,ESCA,156,155,1,155,0,1,mean of finite primary-aliquot scores; patient is missing when all primary-aliquot scores are missing
cBioPortal_TCGA_PanCancer,GBM,384,253,131,253,0,1,mean of finite primary-aliquot scores; patient is missing when all primary-aliquot scores are missing
cBioPortal_TCGA_PanCancer,HNSC,450,428,22,428,0,1,mean of finite primary-aliquot scores; patient is missing when all primary-aliquot scores are missing
cBioPortal_TCGA_PanCancer,KICH,108,65,43,65,0,1,mean of finite primary-aliquot scores; patient is missing when all primary-aliquot scores are missing
cBioPortal_TCGA_PanCancer,KIRC,513,476,37,476,0,1,mean of finite primary-aliquot scores; patient is missing when all primary-aliquot scores are missing
cBioPortal_TCGA_PanCancer,KIRP,273,264,9,264,0,1,mean of finite primary-aliquot scores; patient is missing when all primary-aliquot scores are missing
cBioPortal_TCGA_PanCancer,LGG,490,488,2,488,0,1,mean of finite primary-aliquot scores; patient is missing when all primary-aliquot scores are missing
cBioPortal_TCGA_PanCancer,LIHC,364,359,5,359,0,1,mean of finite primary-aliquot scores; patient is missing when all primary-aliquot scores are missing
cBioPortal_TCGA_PanCancer,LUAD,468,461,7,461,0,1,mean of finite primary-aliquot scores; patient is missing when all primary-aliquot scores are missing
cBioPortal_TCGA_PanCancer,LUSC,477,455,22,455,0,1,mean of finite primary-aliquot scores; patient is missing when all primary-aliquot scores are missing
cBioPortal_TCGA_PanCancer,MESO,75,71,4,71,0,1,mean of finite primary-aliquot scores; patient is missing when all primary-aliquot scores are missing
cBioPortal_TCGA_PanCancer,OV,106,97,9,97,0,1,mean of finite primary-aliquot scores; patient is missing when all primary-aliquot scores are missing
cBioPortal_TCGA_PanCancer,PAAD,183,181,2,181,0,1,mean of finite primary-aliquot scores; patient is missing when all primary-aliquot scores are missing
cBioPortal_TCGA_PanCancer,PCPG,176,175,1,175,0,1,mean of finite primary-aliquot scores; patient is missing when all primary-aliquot scores are missing
cBioPortal_TCGA_PanCancer,PRAD,402,398,4,398,0,1,mean of finite primary-aliquot scores; patient is missing when all primary-aliquot scores are missing
cBioPortal_TCGA_PanCancer,READ,156,141,15,141,0,1,mean of finite primary-aliquot scores; patient is missing when all primary-aliquot scores are missing
cBioPortal_TCGA_PanCancer,SARC,254,245,9,245,0,1,mean of finite primary-aliquot scores; patient is missing when all primary-aliquot scores are missing
cBioPortal_TCGA_PanCancer,SKCM,292,74,218,74,0,1,mean of finite primary-aliquot scores; patient is missing when all primary-aliquot scores are missing
cBioPortal_TCGA_PanCancer,STAD,374,372,2,372,0,1,mean of finite primary-aliquot scores; patient is missing when all primary-aliquot scores are missing
cBioPortal_TCGA_PanCancer,TGCT,149,148,1,148,0,1,mean of finite primary-aliquot scores; patient is missing when all primary-aliquot scores are missing
cBioPortal_TCGA_PanCancer,THCA,505,486,19,486,0,1,mean of finite primary-aliquot scores; patient is missing when all primary-aliquot scores are missing
cBioPortal_TCGA_PanCancer,THYM,121,120,1,120,0,1,mean of finite primary-aliquot scores; patient is missing when all primary-aliquot scores are missing
cBioPortal_TCGA_PanCancer,UCEC,505,489,16,489,0,1,mean of finite primary-aliquot scores; patient is missing when all primary-aliquot scores are missing
cBioPortal_TCGA_PanCancer,UCS,53,53,0,53,0,1,mean of finite primary-aliquot scores; patient is missing when all primary-aliquot scores are missing
cBioPortal_TCGA_PanCancer,UVM,80,80,0,80,0,1,mean of finite primary-aliquot scores; patient is missing when all primary-aliquot scores are missing
