foundation_model,outcome_type,family,subfamily,tumor_type,endpoint,source,n_primary,positive_primary,negative_primary,metric_primary,screen_positive_primary,n_exact,positive_exact,negative_exact,metric_exact,screen_positive_exact,delta_exact_minus_primary,threshold_change
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,LUAD,ARID1A,TCGA_MC3_Bailey2018,463,25,438,0.498812785388128,FALSE,463,25,438,0.498812785388128,FALSE,0,retained negative
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,LUAD,ATM,TCGA_MC3_Bailey2018,463,37,426,0.499936556274585,FALSE,463,37,426,0.499936556274585,FALSE,0,retained negative
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,LUAD,BRAF,TCGA_MC3_Bailey2018,463,37,426,0.480205557670346,FALSE,463,37,426,0.480205557670346,FALSE,0,retained negative
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,LUAD,EGFR,TCGA_MC3_Bailey2018,463,59,404,0.710521899647592,TRUE,463,59,404,0.710521899647592,TRUE,0,retained positive
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,LUAD,KEAP1,TCGA_MC3_Bailey2018,463,83,380,0.596734305643627,FALSE,463,83,380,0.596734305643627,FALSE,0,retained negative
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,LUAD,KRAS,TCGA_MC3_Bailey2018,463,140,323,0.567823971693941,FALSE,463,140,323,0.567823971693941,FALSE,0,retained negative
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,LUAD,MGA,TCGA_MC3_Bailey2018,463,36,427,0.477296383034088,FALSE,463,36,427,0.477296383034088,FALSE,0,retained negative
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,LUAD,NF1,TCGA_MC3_Bailey2018,463,57,406,0.585645147351137,FALSE,463,57,406,0.585645147351137,FALSE,0,retained negative
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,LUAD,PIK3CA,TCGA_MC3_Bailey2018,463,26,437,0.449568737898257,FALSE,463,26,437,0.449568737898257,FALSE,0,retained negative
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,LUAD,RB1,TCGA_MC3_Bailey2018,463,25,438,0.532054794520548,FALSE,463,25,438,0.532054794520548,FALSE,0,retained negative
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,LUAD,RBM10,TCGA_MC3_Bailey2018,463,33,430,0.522480620155039,FALSE,463,33,430,0.522480620155039,FALSE,0,retained negative
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,LUAD,SETD2,TCGA_MC3_Bailey2018,463,30,433,0.564588144726713,FALSE,463,30,433,0.564588144726713,FALSE,0,retained negative
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,LUAD,SMARCA4,TCGA_MC3_Bailey2018,463,36,427,0.611891751236014,TRUE,463,36,427,0.611891751236014,TRUE,0,retained positive
