truth,predicted,Freq
KIRC,TGCT,0
KIRP,TGCT,1
LGG,TGCT,0
LIHC,TGCT,0
LUAD,TGCT,0
LUSC,TGCT,0
MESO,TGCT,1
OV,TGCT,0
PAAD,TGCT,0
PCPG,TGCT,0
PRAD,TGCT,1
READ,TGCT,0
SARC,TGCT,8
SKCM,TGCT,2
STAD,TGCT,4
TGCT,TGCT,133
THCA,TGCT,0
THYM,TGCT,1
UCEC,TGCT,1
UCS,TGCT,0
UVM,TGCT,0
ACC,THCA,0
BLCA,THCA,0
BRCA,THCA,0
CESC,THCA,0
CHOL,THCA,0
COAD,THCA,0
DLBC,THCA,0
ESCA,THCA,0
GBM,THCA,0
HNSC,THCA,0
KICH,THCA,0
KIRC,THCA,0
KIRP,THCA,0
LGG,THCA,0
LIHC,THCA,1
LUAD,THCA,0
LUSC,THCA,0
MESO,THCA,0
OV,THCA,0
PAAD,THCA,0
PCPG,THCA,0
PRAD,THCA,0
READ,THCA,0
SARC,THCA,0
SKCM,THCA,0
STAD,THCA,0
TGCT,THCA,0
THCA,THCA,492
THYM,THCA,0
UCEC,THCA,0
UCS,THCA,0
UVM,THCA,0
ACC,THYM,0
BLCA,THYM,2
BRCA,THYM,8
CESC,THYM,0
CHOL,THYM,0
COAD,THYM,1
DLBC,THYM,4
ESCA,THYM,1
GBM,THYM,0
HNSC,THYM,1
KICH,THYM,0
KIRC,THYM,0
KIRP,THYM,1
LGG,THYM,0
LIHC,THYM,0
LUAD,THYM,1
LUSC,THYM,0
MESO,THYM,7
OV,THYM,1
PAAD,THYM,0
PCPG,THYM,2
PRAD,THYM,0
READ,THYM,0
SARC,THYM,2
SKCM,THYM,3
STAD,THYM,1
TGCT,THYM,0
THCA,THYM,11
THYM,THYM,104
UCEC,THYM,0
UCS,THYM,0
UVM,THYM,0
ACC,UCEC,0
BLCA,UCEC,0
BRCA,UCEC,0
CESC,UCEC,31
CHOL,UCEC,0
COAD,UCEC,0
DLBC,UCEC,0
ESCA,UCEC,0
GBM,UCEC,0
HNSC,UCEC,0
KICH,UCEC,0
KIRC,UCEC,0
KIRP,UCEC,0
LGG,UCEC,0
LIHC,UCEC,0
LUAD,UCEC,2
LUSC,UCEC,0
MESO,UCEC,0
OV,UCEC,1
PAAD,UCEC,0
PCPG,UCEC,0
PRAD,UCEC,0
READ,UCEC,0
SARC,UCEC,1
SKCM,UCEC,0
STAD,UCEC,1
TGCT,UCEC,0
THCA,UCEC,0
THYM,UCEC,0
UCEC,UCEC,465
UCS,UCEC,11
UVM,UCEC,0
ACC,UCS,0
BLCA,UCS,0
BRCA,UCS,1
CESC,UCS,9
CHOL,UCS,0
COAD,UCS,0
DLBC,UCS,0
ESCA,UCS,0
GBM,UCS,0
HNSC,UCS,0
KICH,UCS,0
KIRC,UCS,0
KIRP,UCS,0
LGG,UCS,0
LIHC,UCS,0
LUAD,UCS,0
LUSC,UCS,0
MESO,UCS,0
OV,UCS,1
PAAD,UCS,0
PCPG,UCS,0
PRAD,UCS,0
READ,UCS,0
SARC,UCS,5
SKCM,UCS,1
STAD,UCS,0
TGCT,UCS,3
THCA,UCS,0
THYM,UCS,0
UCEC,UCS,18
UCS,UCS,37
UVM,UCS,0
ACC,UVM,1
BLCA,UVM,0
BRCA,UVM,0
CESC,UVM,0
CHOL,UVM,0
COAD,UVM,0
DLBC,UVM,0
ESCA,UVM,0
GBM,UVM,0
HNSC,UVM,0
KICH,UVM,0
KIRC,UVM,1
KIRP,UVM,0
LGG,UVM,0
LIHC,UVM,0
LUAD,UVM,0
LUSC,UVM,0
MESO,UVM,0
OV,UVM,0
PAAD,UVM,0
PCPG,UVM,0
PRAD,UVM,0
READ,UVM,0
SARC,UVM,2
SKCM,UVM,4
STAD,UVM,0
TGCT,UVM,0
THCA,UVM,0
THYM,UVM,0
UCEC,UVM,0
UCS,UVM,0
UVM,UVM,79
