tumor_type,repeat,patients,sites,macro_balanced_accuracy,macro_f1,accuracy,chance_macro_balanced_accuracy,normalized_macro_balanced_accuracy,selected_components_median,seed,backend,svd_method,rsvd_oversample,rsvd_power
READ,2,132,5,0.856158873805933,0.858156517739061,0.916666666666667,0.2,0.820198592257416,14,20760839,cpu,rsvd,32,5
READ,3,132,5,0.821518350930116,0.819524997937464,0.893939393939394,0.2,0.776897938662645,10,20760840,cpu,rsvd,32,5
READ,4,132,5,0.876445449974862,0.870606060606061,0.924242424242424,0.2,0.845556812468577,15,20760841,cpu,rsvd,32,5
READ,5,132,5,0.899974861739568,0.895018132644908,0.939393939393939,0.2,0.87496857717446,19,20760842,cpu,rsvd,32,5
SARC,1,158,4,0.687738731856379,0.691964285714286,0.867088607594937,0.25,0.583651642475172,19,20760839,cpu,rsvd,32,5
SARC,2,158,4,0.615355233002292,0.619374161544941,0.835443037974684,0.25,0.487140310669722,15,20760840,cpu,rsvd,32,5
SARC,3,158,4,0.642284186401834,0.653581267217631,0.854430379746835,0.25,0.523045581869111,13,20760841,cpu,rsvd,32,5
SARC,4,158,4,0.679335370511841,0.704825044772007,0.879746835443038,0.25,0.572447160682455,16,20760842,cpu,rsvd,32,5
SARC,5,158,4,0.629679144385027,0.638923755670167,0.854430379746835,0.25,0.506238859180036,12,20760843,cpu,rsvd,32,5
SKCM,1,245,8,0.569465825301066,0.592723009590613,0.726530612244898,0.125,0.507960943201218,19,20760840,cpu,rsvd,32,5
SKCM,2,245,8,0.670055965836858,0.685512491089975,0.771428571428571,0.125,0.622921103813552,19,20760841,cpu,rsvd,32,5
SKCM,3,245,8,0.635217774137254,0.650750399190288,0.751020408163265,0.125,0.583106027585433,20,20760842,cpu,rsvd,32,5
SKCM,4,245,8,0.659405048771468,0.672029355306089,0.763265306122449,0.125,0.610748627167392,19,20760843,cpu,rsvd,32,5
SKCM,5,245,8,0.582502622044241,0.606033497409804,0.73469387755102,0.125,0.522860139479133,18,20760844,cpu,rsvd,32,5
STAD,1,334,8,0.814962712143538,0.833245265319813,0.895209580838323,0.125,0.788528813878329,19,20760841,cpu,rsvd,32,5
STAD,2,334,8,0.832257721889086,0.84732579562536,0.907185628742515,0.125,0.808294539301812,18,20760842,cpu,rsvd,32,5
STAD,3,334,8,0.814278868403955,0.825400547903706,0.904191616766467,0.125,0.787747278175949,18,20760843,cpu,rsvd,32,5
STAD,4,334,8,0.827396467858764,0.847673648038806,0.907185628742515,0.125,0.802738820410016,20,20760844,cpu,rsvd,32,5
STAD,5,334,8,0.818975883577989,0.8364406412535,0.901197604790419,0.125,0.793115295517702,20,20760845,cpu,rsvd,32,5
TGCT,1,106,3,0.775,0.762014356951066,0.905660377358491,0.333333333333333,0.6625,13,20760842,cpu,rsvd,32,5
TGCT,2,106,3,0.85,0.836957061305535,0.933962264150943,0.333333333333333,0.775,6,20760843,cpu,rsvd,32,5
TGCT,3,106,3,0.791666666666667,0.796078431372549,0.933962264150943,0.333333333333333,0.6875,8,20760844,cpu,rsvd,32,5
TGCT,4,106,3,0.916666666666667,0.904424977538185,0.952830188679245,0.333333333333333,0.875,12,20760845,cpu,rsvd,32,5
TGCT,5,106,3,0.766666666666667,0.769253812636166,0.915094339622642,0.333333333333333,0.65,11,20760846,cpu,rsvd,32,5
THCA,1,455,11,0.609394092116073,0.613476222588565,0.72967032967033,0.0909090909090909,0.57033350132768,20,20760843,cpu,rsvd,32,5
THCA,2,455,11,0.608442102275531,0.606195314552095,0.727472527472528,0.0909090909090909,0.569286312503084,20,20760844,cpu,rsvd,32,5
THCA,3,455,11,0.648321250149023,0.645183855521621,0.758241758241758,0.0909090909090909,0.613153375163926,20,20760845,cpu,rsvd,32,5
THCA,4,455,11,0.631189591833871,0.62334550415469,0.742857142857143,0.0909090909090909,0.594308551017258,19,20760846,cpu,rsvd,32,5
THCA,5,455,11,0.635852719021914,0.62547336681132,0.738461538461539,0.0909090909090909,0.599437990924105,20,20760847,cpu,rsvd,32,5
THYM,1,91,5,0.808354978354979,0.803197006148089,0.813186813186813,0.2,0.760443722943723,15,20760844,cpu,rsvd,32,5
THYM,2,91,5,0.807489177489178,0.809103239133913,0.824175824175824,0.2,0.759361471861472,11,20760845,cpu,rsvd,32,5
THYM,3,91,5,0.771688311688312,0.770758417783589,0.78021978021978,0.2,0.71461038961039,9,20760846,cpu,rsvd,32,5
THYM,4,91,5,0.838441558441559,0.834545454545455,0.846153846153846,0.2,0.798051948051948,16,20760847,cpu,rsvd,32,5
THYM,5,91,5,0.796536796536797,0.789761904761905,0.802197802197802,0.2,0.745670995670996,11,20760848,cpu,rsvd,32,5
UCEC,1,456,12,0.705278864303489,0.704089240842977,0.785087719298246,0.0833333333333333,0.678486033785624,19,20760845,cpu,rsvd,32,5
UCEC,2,456,12,0.699835468639192,0.699522000583523,0.776315789473684,0.0833333333333333,0.672547783970027,20,20760846,cpu,rsvd,32,5
UCEC,3,456,12,0.714218620960283,0.715250961112191,0.791666666666667,0.0833333333333333,0.688238495593036,19,20760847,cpu,rsvd,32,5
UCEC,4,456,12,0.69767546734447,0.699845966619348,0.778508771929825,0.0833333333333333,0.67019141892124,20,20760848,cpu,rsvd,32,5
UCEC,5,456,12,0.689680382940487,0.688560439760841,0.776315789473684,0.0833333333333333,0.66146950866235,19,20760849,cpu,rsvd,32,5
UVM,1,72,3,0.962857142857143,0.962857142857143,0.972222222222222,0.333333333333333,0.944285714285714,7,20760847,cpu,rsvd,32,5
UVM,2,72,3,0.962857142857143,0.962857142857143,0.972222222222222,0.333333333333333,0.944285714285714,6,20760848,cpu,rsvd,32,5
UVM,3,72,3,0.939047619047619,0.943355119825708,0.958333333333333,0.333333333333333,0.908571428571428,6,20760849,cpu,rsvd,32,5
UVM,4,72,3,0.939047619047619,0.943355119825708,0.958333333333333,0.333333333333333,0.908571428571428,5,20760850,cpu,rsvd,32,5
UVM,5,72,3,0.962857142857143,0.962857142857143,0.972222222222222,0.333333333333333,0.944285714285714,7,20760851,cpu,rsvd,32,5
