outcome_type,family,tumor_type,endpoint,p_permutation,q_value,q_value_global,q_value_outcome_wide,q_value_atlas_wide,tier
continuous,rna_pathway_activity,SARC,HALLMARK_IL6_JAK_STAT3_SIGNALING,0.001,0.00216666666666667,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,THCA,HALLMARK_INFLAMMATORY_RESPONSE,0.001,0.00173333333333333,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,TGCT,HALLMARK_MTORC1_SIGNALING,0.001,0.00106122448979592,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,TGCT,HALLMARK_TGF_BETA_SIGNALING,0.001,0.00106122448979592,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,SARC,HALLMARK_INFLAMMATORY_RESPONSE,0.001,0.00216666666666667,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,KIRP,HALLMARK_ADIPOGENESIS,0.001,0.002,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,BRCA,HALLMARK_G2M_CHECKPOINT,0.001,0.00140540540540541,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,TGCT,HALLMARK_COAGULATION,0.001,0.00106122448979592,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,THCA,HALLMARK_INTERFERON_ALPHA_RESPONSE,0.001,0.00173333333333333,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,CESC,HALLMARK_P53_PATHWAY,0.001,0.00472727272727273,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,TGCT,HALLMARK_KRAS_SIGNALING_DN,0.001,0.00106122448979592,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,THCA,HALLMARK_IL2_STAT5_SIGNALING,0.001,0.00173333333333333,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,LIHC,HALLMARK_XENOBIOTIC_METABOLISM,0.001,0.0013,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,BRCA,HALLMARK_MYC_TARGETS_V1,0.001,0.00140540540540541,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,KIRP,HALLMARK_G2M_CHECKPOINT,0.001,0.002,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,TGCT,HALLMARK_MYC_TARGETS_V2,0.001,0.00106122448979592,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,TGCT,HALLMARK_UV_RESPONSE_UP,0.001,0.00106122448979592,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,THCA,HALLMARK_COMPLEMENT,0.001,0.00173333333333333,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,LIHC,HALLMARK_ADIPOGENESIS,0.001,0.0013,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
