tumor_type,family,subfamily,endpoint,source,n,mean,sd,cohort_patients,missing_from_embedding_cohort
BLCA,thorsson,immune_inflammatory_and_genomic_context,IFN-gamma Response,Thorsson2018_PanImmune_MS,373,0.131418766756032,1.00278442259304,386,13
BLCA,thorsson,immune_inflammatory_and_genomic_context,TGF-beta Response,Thorsson2018_PanImmune_MS,373,0.0609233243967828,0.44321004701125,386,13
BLCA,thorsson,immune_inflammatory_and_genomic_context,SNV Neoantigens,Thorsson2018_PanImmune_MS,379,4.31458471821311,0.893077273930271,386,7
BLCA,thorsson,immune_inflammatory_and_genomic_context,Indel Neoantigens,Thorsson2018_PanImmune_MS,350,3.13828685127834,1.5243265267319,386,36
BLCA,thorsson,immune_inflammatory_and_genomic_context,Silent Mutation Rate,Thorsson2018_PanImmune_MS,383,1.02709878374343,0.545509197923757,386,3
BLCA,thorsson,immune_inflammatory_and_genomic_context,Nonsilent Mutation Rate,Thorsson2018_PanImmune_MS,383,1.75924864450424,0.69826733840104,386,3
BLCA,thorsson,immune_inflammatory_and_genomic_context,Number of Segments,Thorsson2018_PanImmune_MS,382,5.08544954796686,0.607178782682299,386,4
BLCA,thorsson,immune_inflammatory_and_genomic_context,Fraction Altered,Thorsson2018_PanImmune_MS,382,0.490821323221035,0.276661202072641,386,4
BLCA,thorsson,immune_inflammatory_and_genomic_context,Aneuploidy Score,Thorsson2018_PanImmune_MS,377,11.8647214854111,6.78470212812885,386,9
BLCA,thorsson,immune_inflammatory_and_genomic_context,Homologous Recombination Defects,Thorsson2018_PanImmune_MS,377,27.5570291777188,16.8872216477587,386,9
BLCA,thorsson,immune_inflammatory_and_genomic_context,BCR Evenness,Thorsson2018_PanImmune_MS,213,0.846614830144467,0.130184614059919,386,173
BLCA,thorsson,immune_inflammatory_and_genomic_context,BCR Shannon,Thorsson2018_PanImmune_MS,249,1.94207920717025,1.27935863206324,386,137
BLCA,thorsson,immune_inflammatory_and_genomic_context,BCR Richness,Thorsson2018_PanImmune_MS,249,27.9036144578313,40.6026023492113,386,137
BLCA,thorsson,immune_inflammatory_and_genomic_context,TCR Shannon,Thorsson2018_PanImmune_MS,321,1.93255917834339,1.14390666343086,386,65
BLCA,thorsson,immune_inflammatory_and_genomic_context,TCR Richness,Thorsson2018_PanImmune_MS,373,12.5549597855228,20.1023004169879,386,13
BLCA,thorsson,immune_inflammatory_and_genomic_context,TCR Evenness,Thorsson2018_PanImmune_MS,288,0.969898217212706,0.0368302955907243,386,98
BLCA,thorsson,immune_inflammatory_and_genomic_context,CTA Score,Thorsson2018_PanImmune_MS,371,3.15819821306891,1.57897306244227,386,15
BLCA,thorsson,immune_inflammatory_and_genomic_context,Th1 Cells,Thorsson2018_PanImmune_MS,373,-1141.40544091543,866.94700946497,386,13
BLCA,thorsson,immune_inflammatory_and_genomic_context,Th2 Cells,Thorsson2018_PanImmune_MS,373,414.651448184114,569.28050249725,386,13
BLCA,thorsson,immune_inflammatory_and_genomic_context,Th17 Cells,Thorsson2018_PanImmune_MS,373,-1441.2377190243,1587.87327064953,386,13
BLCA,thorsson,immune_inflammatory_and_genomic_context,B Cells Memory,Thorsson2018_PanImmune_MS,373,0.045808785552128,0.0614197916789514,386,13
