family,tumor_type,endpoint,repeat,q2,rmse,spearman
thorsson,KIRC,TGF-beta Response,2,-0.337462762646044,0.369540053184258,-0.0209016688865147
thorsson,KIRC,TGF-beta Response,3,-0.8436596527802,0.433871419887768,-0.031899586606919
thorsson,KIRC,TGF-beta Response,4,-0.269933235999579,0.360090042473522,-0.0425361586443749
thorsson,KIRC,TGF-beta Response,5,-0.399423510673288,0.378003003182962,0.027597323406923
thorsson,KIRC,Th1 Cells,1,-1.19603950662992,817.679746169935,0.0223174024907725
thorsson,KIRC,Th1 Cells,2,-0.0953615855551866,577.486610390263,-0.0188267347453273
thorsson,KIRC,Th1 Cells,3,-0.0867200807328137,575.204151857643,-0.089676898239368
thorsson,KIRC,Th1 Cells,4,-1.07833730844574,795.465196436685,-0.0153387407772292
thorsson,KIRC,Th1 Cells,5,-0.0648673675996585,569.391428796956,0.0979515706843319
thorsson,KIRC,Wound Healing,1,-0.594430503246778,0.150169989812906,-0.0541981539574824
thorsson,KIRC,Wound Healing,2,-0.313640513782157,0.136307144905002,-0.0224539822276378
thorsson,KIRC,Wound Healing,3,-0.288281458303741,0.134985068809729,-0.0364370862037505
thorsson,KIRC,Wound Healing,4,-0.129058999081589,0.126368454034941,-0.0502794048024082
thorsson,KIRC,Wound Healing,5,-0.450376080427397,0.143225606022996,0.00859718916449737
thorsson,LIHC,Homologous Recombination Defects,1,-0.375675925638204,12.710351961401,-0.020237410475122
thorsson,LIHC,Homologous Recombination Defects,2,-0.539654257698714,13.4465574527553,0.0189469379337029
thorsson,LIHC,Homologous Recombination Defects,3,-0.147450785499383,11.6082443673435,0.03521289415345
thorsson,LIHC,Homologous Recombination Defects,4,-0.133681623106666,11.5383859466959,0.0503384327784547
thorsson,LIHC,Homologous Recombination Defects,5,-0.529368138298436,13.4015653125302,-0.063163128887751
thorsson,LIHC,Leukocyte Fraction,1,-0.491081783432212,0.169860427373554,-0.0340751805740558
thorsson,LIHC,Leukocyte Fraction,2,-0.557003020218373,0.173574613833358,-0.020461265242924
thorsson,LIHC,Leukocyte Fraction,3,-0.777812382442249,0.185474600188433,0.034091439893456
thorsson,LIHC,Leukocyte Fraction,4,-0.855601410686143,0.189488922928135,0.0205088909658914
thorsson,LIHC,Leukocyte Fraction,5,-0.564412205398117,0.173987111470699,0.101820723076945
thorsson,LIHC,Lymphocyte Infiltration Signature Score,1,-1.2718749472348,1.57341593424485,-0.0274746198703951
thorsson,LIHC,Lymphocyte Infiltration Signature Score,2,-0.813596252491151,1.40579384549103,0.0567558651007441
thorsson,LIHC,Lymphocyte Infiltration Signature Score,3,-0.663149279550279,1.34622282229087,-0.0303422357123954
thorsson,LIHC,Lymphocyte Infiltration Signature Score,4,-0.7797065002412,1.39259722726503,0.105767405311956
thorsson,LIHC,Lymphocyte Infiltration Signature Score,5,-0.72586304992501,1.37136953754897,-0.00459877208475707
thorsson,LIHC,Macrophage Regulation,1,-1.32994782585252,1.01309297781711,-0.103334063254145
thorsson,LIHC,Macrophage Regulation,2,-1.03887762939726,0.947701978870299,-0.0602498353692501
thorsson,LIHC,Macrophage Regulation,3,-0.958326404594355,0.928792600664271,-0.0197813318045678
thorsson,LIHC,Macrophage Regulation,4,-0.319020020801477,0.762257841677639,0.0854855129590054
thorsson,LIHC,Macrophage Regulation,5,-0.882240142351213,0.910570807127964,-0.0205339870136986
thorsson,LIHC,Proliferation,1,-0.391784668605778,0.871836176063301,-0.0829811261975377
thorsson,LIHC,Proliferation,2,-0.30906622974593,0.845531265621791,-0.0041212450664679
thorsson,LIHC,Proliferation,3,-0.302013870246278,0.843250615812288,0.047701740793443
thorsson,LIHC,Proliferation,4,-0.423361587663776,0.881670850024285,0.0191511809529511
thorsson,LIHC,Proliferation,5,-0.590588319255924,0.93202541702349,0.109113796263326
thorsson,LIHC,Stromal Fraction,1,-0.419488717725201,0.223469615246962,0.0792942333926234
thorsson,LIHC,Stromal Fraction,2,-0.371421275552146,0.219653410101652,0.0430034208096894
thorsson,LIHC,Stromal Fraction,3,-0.629111757458225,0.239402095644492,-0.141819263264036
thorsson,LIHC,Stromal Fraction,4,-0.735972237188824,0.247129105046799,0.0169021840143635
thorsson,LIHC,Stromal Fraction,5,-0.0527426573297884,0.19244809622228,0.0714454049522438
thorsson,LIHC,TCR Shannon,1,-0.805791115807829,1.42677974500657,-0.00762788154269692
thorsson,LIHC,TCR Shannon,2,-0.480319133669131,1.29181658403661,0.0318421961668158
thorsson,LIHC,TCR Shannon,3,-0.599614599431314,1.34286037509863,0.0824006549058502
