tumor_type,family,subfamily,endpoint,source,n,positive,negative,prevalence,cohort_patients,missing_from_embedding_cohort
LGG,oncogenic_pathway,oncogenic_pathway,NOTCH,SanchezVega2018_TableS4,481,120,361,0.24948024948025,490,9
LGG,oncogenic_pathway,oncogenic_pathway,NRF2,SanchezVega2018_TableS4,481,2,479,0.00415800415800416,490,9
LGG,oncogenic_pathway,oncogenic_pathway,PI3K,SanchezVega2018_TableS4,481,113,368,0.234927234927235,490,9
LGG,oncogenic_pathway,oncogenic_pathway,RTK RAS,SanchezVega2018_TableS4,481,135,346,0.280665280665281,490,9
LGG,oncogenic_pathway,oncogenic_pathway,TP53,SanchezVega2018_TableS4,481,248,233,0.515592515592516,490,9
LGG,oncogenic_pathway,oncogenic_pathway,TGF-Beta,SanchezVega2018_TableS4,481,130,351,0.27027027027027,490,9
LGG,oncogenic_pathway,oncogenic_pathway,WNT,SanchezVega2018_TableS4,481,131,350,0.272349272349272,490,9
LGG,fusion,fusion,Any called fusion,Gao2018_TableS1,487,236,251,0.484599589322382,490,3
LGG,microsatellite_instability,microsatellite_instability,MSI-H (MANTIS >0.4),Bonneville2017_cBioPortal,485,2,483,0.00412371134020619,490,5
LGG,microsatellite_instability_sensitivity,microsatellite_instability_sensitivity,MSI-H strict (MANTIS >0.6),cBioPortal_threshold_documentation,483,0,483,0,490,7
LIHC,aneuploidy,aneuploidy,Genome doubling,Taylor2018_TableS2,350,115,235,0.328571428571429,364,14
LIHC,oncogenic_pathway,oncogenic_pathway,Cell Cycle,SanchezVega2018_TableS4,337,232,105,0.688427299703264,364,27
LIHC,oncogenic_pathway,oncogenic_pathway,HIPPO,SanchezVega2018_TableS4,337,43,294,0.127596439169139,364,27
LIHC,oncogenic_pathway,oncogenic_pathway,MYC,SanchezVega2018_TableS4,337,61,276,0.181008902077151,364,27
LIHC,oncogenic_pathway,oncogenic_pathway,NOTCH,SanchezVega2018_TableS4,337,87,250,0.258160237388724,364,27
LIHC,oncogenic_pathway,oncogenic_pathway,NRF2,SanchezVega2018_TableS4,337,22,315,0.0652818991097923,364,27
LIHC,oncogenic_pathway,oncogenic_pathway,PI3K,SanchezVega2018_TableS4,337,85,252,0.252225519287834,364,27
LIHC,oncogenic_pathway,oncogenic_pathway,RTK RAS,SanchezVega2018_TableS4,337,74,263,0.219584569732938,364,27
LIHC,oncogenic_pathway,oncogenic_pathway,TP53,SanchezVega2018_TableS4,337,127,210,0.376854599406528,364,27
LIHC,oncogenic_pathway,oncogenic_pathway,TGF-Beta,SanchezVega2018_TableS4,337,24,313,0.0712166172106825,364,27
LIHC,oncogenic_pathway,oncogenic_pathway,WNT,SanchezVega2018_TableS4,337,147,190,0.43620178041543,364,27
LIHC,fusion,fusion,Any called fusion,Gao2018_TableS1,357,214,143,0.599439775910364,364,7
LIHC,microsatellite_instability,microsatellite_instability,MSI-H (MANTIS >0.4),Bonneville2017_cBioPortal,359,3,356,0.00835654596100279,364,5
LIHC,microsatellite_instability_sensitivity,microsatellite_instability_sensitivity,MSI-H strict (MANTIS >0.6),cBioPortal_threshold_documentation,356,0,356,0,364,8
LUAD,aneuploidy,aneuploidy,Genome doubling,Taylor2018_TableS2,449,264,185,0.587973273942094,468,19
LUAD,oncogenic_pathway,oncogenic_pathway,Cell Cycle,SanchezVega2018_TableS4,426,252,174,0.591549295774648,468,42
LUAD,oncogenic_pathway,oncogenic_pathway,HIPPO,SanchezVega2018_TableS4,451,101,350,0.223946784922395,468,17
LUAD,oncogenic_pathway,oncogenic_pathway,MYC,SanchezVega2018_TableS4,451,103,348,0.228381374722838,468,17
LUAD,oncogenic_pathway,oncogenic_pathway,NOTCH,SanchezVega2018_TableS4,451,97,354,0.215077605321508,468,17
LUAD,oncogenic_pathway,oncogenic_pathway,NRF2,SanchezVega2018_TableS4,451,63,388,0.139689578713969,468,17
LUAD,oncogenic_pathway,oncogenic_pathway,PI3K,SanchezVega2018_TableS4,451,174,277,0.385809312638581,468,17
