family,tumor_type,endpoint,n,mean_pool_q2,median_pool_q2,delta_median_minus_mean,seed
rna_pathway_activity,LIHC,HALLMARK_INFLAMMATORY_RESPONSE,358,0.302732759999977,0.302732759999977,3.88578058618805e-16,20262158
rna_pathway_activity,OV,HALLMARK_UV_RESPONSE_UP,69,0.302281738343691,0.302281738343691,-2.22044604925031e-16,20262605
rna_pathway_activity,THCA,HALLMARK_E2F_TARGETS,503,0.30196898065843,0.302098418936753,0.000129438278323402,20263532
rna_pathway_activity,LUAD,HALLMARK_APICAL_JUNCTION,462,0.301780127520824,0.301382509959368,-0.000397617561456343,20262246
rna_pathway_activity,BLCA,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,382,0.30173875424491,0.302022065653962,0.000283311409052078,20261012
rna_pathway_activity,PAAD,HALLMARK_HYPOXIA,176,0.301669639310734,0.300681664740329,-0.000987974570405226,20262687
rna_pathway_activity,LUSC,HALLMARK_MYC_TARGETS_V1,475,0.300893050320708,0.300403662535615,-0.000489387785093443,20262381
rna_pathway_activity,UCEC,HALLMARK_MYC_TARGETS_V1,492,0.299713191461497,0.299143234216159,-0.000569957245338371,20263763
rna_pathway_activity,LGG,HALLMARK_IL6_JAK_STAT3_SIGNALING,490,0.299535160467196,0.294988625972565,-0.00454653449463066,20262050
rna_pathway_activity,CESC,HALLMARK_IL6_JAK_STAT3_SIGNALING,267,0.299506584215518,0.299162871712552,-0.000343712502966387,20261206
rna_pathway_activity,THCA,HALLMARK_HYPOXIA,503,0.299308933181916,0.299292508653365,-1.64245285508846e-05,20263541
rna_pathway_activity,UCEC,HALLMARK_E2F_TARGETS,492,0.29884373297534,0.299079417843933,0.000235684868592878,20263744
rna_pathway_activity,LUAD,HALLMARK_KRAS_SIGNALING_UP,462,0.2981746952516,0.297930498565463,-0.000244196686136955,20262270
rna_pathway_activity,OV,HALLMARK_INFLAMMATORY_RESPONSE,69,0.297594192140834,0.297594192140834,-5.55111512312578e-17,20262582
rna_pathway_activity,BRCA,HALLMARK_KRAS_SIGNALING_UP,1052,0.297156949060548,0.297192049417016,3.5100356468365e-05,20261103
rna_pathway_activity,LUAD,HALLMARK_COMPLEMENT,462,0.296645716547849,0.296128035698652,-0.000517680849196678,20262252
rna_pathway_activity,KIRC,HALLMARK_INTERFERON_ALPHA_RESPONSE,510,0.296248505177567,0.281608472615783,-0.0146400325617843,20261841
rna_pathway_activity,LUAD,HALLMARK_P53_PATHWAY,462,0.295966696155504,0.295578153861892,-0.000388542293612348,20262278
rna_pathway_activity,PCPG,HALLMARK_ANGIOGENESIS,176,0.295690515938802,0.295690515938803,5.55111512312578e-16,20262772
rna_pathway_activity,TGCT,GOBP_VITAMIN_B6_METABOLIC_PROCESS,149,0.2953157794639,0.301188748294041,0.00587296883014143,20263412
rna_pathway_activity,BLCA,HALLMARK_MYC_TARGETS_V1,382,0.295162592936165,0.295998388805156,0.000835795868991185,20260998
rna_pathway_activity,LIHC,HALLMARK_MYOGENESIS,358,0.295008779585745,0.295008779585745,1.11022302462516e-16,20262167
rna_pathway_activity,CESC,HALLMARK_TNFA_SIGNALING_VIA_NFKB,267,0.29495386379236,0.294806587449544,-0.000147276342815528,20261227
rna_pathway_activity,BRCA,HALLMARK_APICAL_SURFACE,1052,0.294842506663795,0.294570915488378,-0.000271591175416586,20261080
rna_pathway_activity,CESC,HALLMARK_INTERFERON_ALPHA_RESPONSE,267,0.294008246725396,0.294027442586154,1.91958607581033e-05,20261208
rna_pathway_activity,BRCA,HALLMARK_TNFA_SIGNALING_VIA_NFKB,1052,0.293627682123408,0.293628906360405,1.22423699738805e-06,20261119
