grouped_job_id,outer_fold,test_n,training_n,test_codes,training_codes,test_positive,test_negative,training_positive,training_negative,single_class_test
74,1,35,311,8,25,2,33,23,288,FALSE
74,2,49,297,7,26,3,46,22,275,FALSE
74,3,66,280,6,27,5,61,20,260,FALSE
74,4,15,331,6,27,0,15,25,306,TRUE
74,5,181,165,6,27,15,166,10,155,FALSE
75,1,56,290,8,25,2,54,18,272,FALSE
75,2,25,321,7,26,2,23,18,303,FALSE
75,3,65,281,6,27,5,60,15,266,FALSE
75,4,42,304,6,27,3,39,17,287,FALSE
75,5,158,188,6,27,8,150,12,176,FALSE
76,1,36,310,8,25,7,29,85,225,FALSE
76,2,94,252,7,26,25,69,67,185,FALSE
76,3,22,324,6,27,6,16,86,238,FALSE
76,4,23,323,6,27,7,16,85,238,FALSE
76,5,171,175,6,27,47,124,45,130,FALSE
77,1,43,303,7,26,14,29,92,211,FALSE
77,2,214,132,7,26,60,154,46,86,FALSE
77,3,45,301,7,26,15,30,91,210,FALSE
77,4,17,329,6,27,8,9,98,231,FALSE
77,5,27,319,6,27,9,18,97,222,FALSE
78,1,89,374,7,26,14,75,45,329,FALSE
78,2,94,369,7,26,15,79,44,325,FALSE
78,3,128,335,7,26,14,114,45,290,FALSE
78,4,71,392,7,26,9,62,50,342,FALSE
78,5,81,382,5,28,7,74,52,330,FALSE
79,1,141,322,7,26,22,119,61,261,FALSE
79,2,41,422,7,26,7,34,76,346,FALSE
79,3,92,371,7,26,18,74,65,306,FALSE
79,4,55,408,6,27,8,47,75,333,FALSE
79,5,134,329,6,27,28,106,55,274,FALSE
80,1,57,406,7,26,9,48,48,358,FALSE
80,2,127,336,7,26,16,111,41,295,FALSE
80,3,87,376,7,26,9,78,48,328,FALSE
80,4,67,396,6,27,8,59,49,347,FALSE
80,5,125,338,6,27,15,110,42,296,FALSE
81,1,128,335,8,25,9,119,17,318,FALSE
81,2,85,378,7,26,4,81,22,356,FALSE
81,3,135,328,6,27,7,128,19,309,FALSE
81,4,34,429,6,27,3,31,23,406,FALSE
81,5,81,382,6,27,3,78,23,359,FALSE
82,1,95,368,8,25,7,88,29,339,FALSE
82,2,29,434,7,26,3,26,33,401,FALSE
82,3,33,430,6,27,1,32,35,395,FALSE
82,4,206,257,6,27,18,188,18,239,FALSE
82,5,100,363,6,27,7,93,29,334,FALSE
83,1,100,363,7,26,9,91,58,305,FALSE
83,2,99,364,7,26,15,84,52,312,FALSE
83,3,119,344,7,26,19,100,48,296,FALSE
83,4,62,401,7,26,10,52,57,344,FALSE
83,5,83,380,5,28,14,69,53,327,FALSE
84,1,47,416,7,26,22,25,212,204,FALSE
84,2,73,390,7,26,41,32,193,197,FALSE
84,3,121,342,7,26,65,56,169,173,FALSE
84,4,61,402,6,27,24,37,210,192,FALSE
84,5,161,302,6,27,82,79,152,150,FALSE
85,1,86,374,8,27,2,84,24,350,FALSE
85,2,141,319,7,28,9,132,17,302,FALSE
85,3,67,393,7,28,4,63,22,371,FALSE
85,4,52,408,7,28,2,50,24,384,FALSE
85,5,114,346,6,29,9,105,17,329,FALSE
86,1,59,401,8,27,3,56,22,379,FALSE
86,2,120,340,8,27,12,108,13,327,FALSE
86,3,90,370,7,28,4,86,21,349,FALSE
86,4,130,330,6,29,5,125,20,310,FALSE
86,5,61,399,6,29,1,60,24,375,FALSE
87,1,68,392,8,27,8,60,43,349,FALSE
87,2,89,371,7,28,9,80,42,329,FALSE
87,3,84,376,7,28,9,75,42,334,FALSE
87,4,92,368,7,28,9,83,42,326,FALSE
87,5,127,333,6,29,16,111,35,298,FALSE
88,1,73,387,8,27,15,58,51,336,FALSE
88,2,137,323,8,27,18,119,48,275,FALSE
88,3,70,390,7,28,10,60,56,334,FALSE
88,4,102,358,6,29,14,88,52,306,FALSE
88,5,78,382,6,29,9,69,57,325,FALSE
89,1,138,322,8,27,13,125,16,306,FALSE
89,2,134,326,8,27,7,127,22,304,FALSE
89,3,73,387,7,28,5,68,24,363,FALSE
89,4,36,424,6,29,1,35,28,396,FALSE
