outcome_type,family,tumor_type,endpoint,repeat_id,pls_primary,ridge_primary,pls_secondary,ridge_secondary,delta_ridge_minus_pls,delta_secondary_ridge_minus_pls
continuous,thorsson,THCA,Th1 Cells,1,0.50942980897835,0.527873084638276,0.701027130015771,0.716475446833159,0.0184432756599255,0.0154483168173879
continuous,thorsson,THCA,Th1 Cells,2,0.517432696156553,0.536058847069918,0.709053072570197,0.721594215071922,0.0186261509133651,0.0125411425017254
continuous,thorsson,THCA,Th1 Cells,3,0.515524478253445,0.532662586059741,0.706106061970004,0.721347910239524,0.0171381078062959,0.0152418482695191
continuous,thorsson,THCA,Th1 Cells,4,0.515070152274869,0.525916711917208,0.706209539148113,0.710818208621553,0.0108465596423394,0.00460866947344063
continuous,thorsson,THCA,Th1 Cells,5,0.511020014593966,0.525628208619233,0.69837510224444,0.713025916077871,0.0146081940252666,0.0146508138334316
continuous,thorsson,THYM,Th17 Cells,1,0.611343625358391,0.642867772720667,0.75085794781879,0.774378456143506,0.0315241473622763,0.0235205083247164
continuous,thorsson,THYM,Th17 Cells,2,0.567438888975959,0.626218185793024,0.722339612462348,0.759587285887695,0.0587792968170646,0.0372476734253474
continuous,thorsson,THYM,Th17 Cells,3,0.594787105608937,0.636821124835945,0.739978120457372,0.773928876500472,0.0420340192270081,0.0339507560430997
continuous,thorsson,THYM,Th17 Cells,4,0.603933557954679,0.651313438888533,0.742817965202536,0.769852687736966,0.0473798809338545,0.0270347225344303
continuous,thorsson,THYM,Th17 Cells,5,0.591656528984936,0.631237258823434,0.732882255091489,0.757436796595184,0.039580729838498,0.0245545415036941
