family,tumor_type,endpoint,repeat,sensitivity,specificity,balanced_accuracy,auc
driver_mutation,UCEC,ARID1A,2,0.505681818181818,0.77491961414791,0.640300716164864,0.71322347266881
driver_mutation,UCEC,ARID1A,3,0.528409090909091,0.794212218649518,0.661310654779304,0.728697749196142
driver_mutation,UCEC,ARID1A,4,0.471590909090909,0.755627009646302,0.613608959368606,0.72292458345513
driver_mutation,UCEC,ARID1A,5,0.505681818181818,0.790996784565916,0.648339301373867,0.723162087109032
driver_mutation,LGG,FUBP1,1,0.340909090909091,0.922902494331066,0.631905792620078,0.729643372500515
driver_mutation,LGG,FUBP1,2,0.295454545454545,0.936507936507937,0.615981240981241,0.720624613481756
driver_mutation,LGG,FUBP1,3,0.295454545454545,0.927437641723356,0.611446093588951,0.769532055246341
driver_mutation,LGG,FUBP1,4,0.386363636363636,0.909297052154195,0.647830344258916,0.781282209853638
driver_mutation,LGG,FUBP1,5,0.272727272727273,0.91609977324263,0.594413522984952,0.750824572253144
driver_mutation,SKCM,BRAF,1,0.711538461538462,0.521739130434783,0.616638795986622,0.635451505016722
driver_mutation,SKCM,BRAF,2,0.653846153846154,0.521739130434783,0.587792642140468,0.677257525083612
driver_mutation,SKCM,BRAF,3,0.788461538461538,0.5,0.644230769230769,0.66680602006689
driver_mutation,SKCM,BRAF,4,0.807692307692308,0.478260869565217,0.642976588628763,0.632943143812709
driver_mutation,SKCM,BRAF,5,0.730769230769231,0.521739130434783,0.626254180602007,0.666387959866221
driver_mutation,UVM,GNA11,1,0.5,0.681818181818182,0.590909090909091,0.554924242424242
driver_mutation,UVM,GNA11,2,0.611111111111111,0.681818181818182,0.646464646464646,0.642676767676768
driver_mutation,UVM,GNA11,3,0.5,0.681818181818182,0.590909090909091,0.587121212121212
driver_mutation,UVM,GNA11,4,0.583333333333333,0.613636363636364,0.598484848484849,0.63510101010101
driver_mutation,UVM,GNA11,5,0.555555555555556,0.659090909090909,0.607323232323232,0.632575757575758
driver_mutation,LGG,PTEN,1,0.260869565217391,0.967532467532468,0.614201016374929,0.71776773950687
driver_mutation,LGG,PTEN,2,0.217391304347826,0.965367965367965,0.591379634857896,0.730942970073405
driver_mutation,LGG,PTEN,3,0.260869565217391,0.965367965367965,0.613118765292678,0.779973649538867
driver_mutation,LGG,PTEN,4,0.130434782608696,0.978354978354978,0.554394880481837,0.633069828722003
driver_mutation,LGG,PTEN,5,0.217391304347826,0.967532467532468,0.592461885940147,0.755787690570299
driver_mutation,CESC,TP53,1,0.285714285714286,0.948051948051948,0.616883116883117,0.717790146361575
driver_mutation,CESC,TP53,2,0.428571428571429,0.926406926406927,0.677489177489178,0.709750566893424
driver_mutation,CESC,TP53,3,0.285714285714286,0.943722943722944,0.614718614718615,0.721294578437436
driver_mutation,CESC,TP53,4,0.333333333333333,0.965367965367965,0.649350649350649,0.703566274994847
driver_mutation,CESC,TP53,5,0.333333333333333,0.948051948051948,0.640692640692641,0.711193568336426
driver_mutation,KIRC,SETD2,1,0.234042553191489,0.882352941176471,0.55819774718398,0.603462661660409
driver_mutation,KIRC,SETD2,2,0.297872340425532,0.918300653594771,0.608086497010152,0.664094006396885
driver_mutation,KIRC,SETD2,3,0.191489361702128,0.898692810457516,0.545091086079822,0.646015853149771
driver_mutation,KIRC,SETD2,4,0.276595744680851,0.888888888888889,0.58274231678487,0.687456542900848
driver_mutation,KIRC,SETD2,5,0.212765957446809,0.898692810457516,0.555729383952162,0.637463496036713
driver_mutation,BLCA,TP53,1,0.654054054054054,0.592964824120603,0.623509439087329,0.647860926252886
driver_mutation,BLCA,TP53,2,0.718918918918919,0.628140703517588,0.673529811218254,0.704930055683825
driver_mutation,BLCA,TP53,3,0.65945945945946,0.592964824120603,0.626212141790031,0.677468423197067
driver_mutation,BLCA,TP53,4,0.648648648648649,0.64321608040201,0.645932364525329,0.698872742088823
driver_mutation,BLCA,TP53,5,0.686486486486487,0.603015075376884,0.644750780931686,0.669183756620943
driver_mutation,LIHC,TP53,1,0.336448598130841,0.872427983539095,0.604438290834968,0.676127841236876
driver_mutation,LIHC,TP53,2,0.364485981308411,0.872427983539095,0.618456982423753,0.711472635667859
driver_mutation,LIHC,TP53,3,0.327102803738318,0.876543209876543,0.601823006807431,0.670320372293373
driver_mutation,LIHC,TP53,4,0.373831775700935,0.864197530864198,0.619014653282566,0.694434829429637
driver_mutation,LIHC,TP53,5,0.345794392523364,0.905349794238683,0.625572093381024,0.711818776200915
driver_mutation,STAD,PIK3CA,1,0.310344827586207,0.904153354632588,0.607249091109397,0.714773603613529
driver_mutation,STAD,PIK3CA,2,0.362068965517241,0.891373801916933,0.626721383717087,0.729315853255481
driver_mutation,STAD,PIK3CA,3,0.344827586206897,0.897763578274761,0.621295582240829,0.759226616723587
driver_mutation,STAD,PIK3CA,4,0.379310344827586,0.932907348242811,0.656108846535199,0.796518673570563
driver_mutation,STAD,PIK3CA,5,0.344827586206897,0.907348242811502,0.626087914509199,0.726451470750248
driver_mutation,PAAD,TP53,1,0.764150943396226,0.420289855072464,0.592220399234345,0.639321848509708
driver_mutation,PAAD,TP53,2,0.839622641509434,0.405797101449275,0.622709871479355,0.669948044845502
driver_mutation,PAAD,TP53,3,0.707547169811321,0.391304347826087,0.549425758818704,0.594749794913864
driver_mutation,PAAD,TP53,4,0.726415094339623,0.391304347826087,0.558859721082855,0.610199617172546
driver_mutation,PAAD,TP53,5,0.783018867924528,0.434782608695652,0.60890073831009,0.628247197156139
driver_mutation,UCEC,CTNNB1,1,0.350515463917526,0.841025641025641,0.595770552471583,0.673936029606133
driver_mutation,UCEC,CTNNB1,2,0.360824742268041,0.846153846153846,0.603489294210944,0.649801744647106
driver_mutation,UCEC,CTNNB1,3,0.360824742268041,0.851282051282051,0.606053396775046,0.675865715040973
driver_mutation,UCEC,CTNNB1,4,0.422680412371134,0.861538461538462,0.642109436954798,0.68842188739096
driver_mutation,UCEC,CTNNB1,5,0.329896907216495,0.864102564102564,0.59699973565953,0.666005815490352
driver_mutation,LIHC,BAP1,1,0.2,0.975757575757576,0.587878787878788,0.65530303030303
driver_mutation,LIHC,BAP1,2,0.15,0.975757575757576,0.562878787878788,0.716212121212121
driver_mutation,LIHC,BAP1,3,0.2,0.972727272727273,0.586363636363636,0.755
driver_mutation,LIHC,BAP1,4,0.25,0.966666666666667,0.608333333333333,0.729090909090909
driver_mutation,LIHC,BAP1,5,0.25,0.96969696969697,0.609848484848485,0.751818181818182
driver_mutation,UCEC,ATM,1,0.337837837837838,0.917675544794189,0.627756691316013,0.751521497284209
driver_mutation,UCEC,ATM,2,0.27027027027027,0.922518159806295,0.596394215038283,0.715365486551927
driver_mutation,UCEC,ATM,3,0.337837837837838,0.932203389830508,0.635020613834173,0.747496891564688
driver_mutation,UCEC,ATM,4,0.27027027027027,0.927360774818402,0.598815522544336,0.680910935148223
driver_mutation,UCEC,ATM,5,0.27027027027027,0.927360774818402,0.598815522544336,0.669687847653949
driver_mutation,STAD,ARID1A,1,0.340659340659341,0.835714285714286,0.588186813186813,0.641562009419152
driver_mutation,STAD,ARID1A,2,0.318681318681319,0.817857142857143,0.568269230769231,0.606593406593407
driver_mutation,STAD,ARID1A,3,0.307692307692308,0.85,0.578846153846154,0.597723704866562
driver_mutation,STAD,ARID1A,4,0.241758241758242,0.875,0.558379120879121,0.574097331240188
driver_mutation,STAD,ARID1A,5,0.362637362637363,0.846428571428571,0.604532967032967,0.618485086342229
driver_mutation,BRCA,FOXA1,1,0.178571428571429,0.989506820566632,0.58403912456903,0.67100134912307
driver_mutation,BRCA,FOXA1,2,0.107142857142857,0.990556138509968,0.548849497826413,0.685129665717284
driver_mutation,BRCA,FOXA1,3,0.214285714285714,0.988457502623295,0.601371608454505,0.657510118423025
