tumor_type,block,endpoint,repeat_id,n,metric,pls1,pls2,median_ncomp_pls1,median_ncomp_pls2,delta_pls2_minus_pls1
BLCA,infiltration_signatures,TIL Regional Fraction,2,281,Q2,0.451608055232936,0.442714063252924,5,4,-0.00889399198001128
BLCA,infiltration_signatures,TIL Regional Fraction,3,281,Q2,0.520363117665864,0.425954108320065,4,4,-0.0944090093457993
BLCA,infiltration_signatures,Wound Healing,1,281,Q2,0.341490038561533,0.354560170763766,2,5,0.013070132202233
BLCA,infiltration_signatures,Wound Healing,2,281,Q2,0.284252391828788,0.307793902663214,2,4,0.0235415108344261
BLCA,infiltration_signatures,Wound Healing,3,281,Q2,0.329505365257927,0.34258371184246,2,4,0.0130783465845332
BRCA,immune_repertoire,BCR Evenness,1,651,Q2,-0.0132817249260146,-0.0121371117818767,1,4,0.00114461314413794
BRCA,immune_repertoire,BCR Evenness,2,651,Q2,-0.0265321082096601,-0.0171396143611515,1,4,0.0093924938485086
BRCA,immune_repertoire,BCR Evenness,3,651,Q2,-0.0163316699178726,-0.013270403031407,1,4,0.00306126688646557
BRCA,immune_repertoire,BCR Richness,1,651,Q2,0.104244848772583,0.177672683272559,2,4,0.0734278344999768
BRCA,immune_repertoire,BCR Richness,2,651,Q2,0.168494783699502,0.181541458880488,4,4,0.0130466751809863
BRCA,immune_repertoire,BCR Richness,3,651,Q2,0.0961497667809114,0.161975400826438,5,4,0.0658256340455266
