stability_job_id,stability_repeat,seed,fold_assignment_sha256,outer_fold_n,outer_fold_positive,outer_fold_negative,identical_across_representations
25,5,20810840,eec45661539abab3335533107f6fe235a14bcd57adfabc7315c251f5c9395412,78;77;77;76;76,10;10;10;9;9,68;67;67;67;67,TRUE
26,1,20770841,95551c3f196369a812f1c3dafdf1f24e265a36986ad6c6e7f0e12c987f0d370c,78;77;77;76;76,10;9;9;9;9,68;68;68;67;67,TRUE
26,2,20780841,1d9578d0cd54b1f1df30f20e254165f8d4e9872523eb451725dfdeceaaa3328f,78;77;77;76;76,10;9;9;9;9,68;68;68;67;67,TRUE
26,3,20790841,c16c758656b786024ce4bb0215397e44401e8b14963e96f97c451ca0d101401e,78;77;77;76;76,10;9;9;9;9,68;68;68;67;67,TRUE
26,4,20800841,39db72e8b71084962a6b3bf26f3b3d9ca279d7f189fd4040f3e5fc1c5b0ebb70,78;77;77;76;76,10;9;9;9;9,68;68;68;67;67,TRUE
26,5,20810841,b52fa70a87a5c37dbc66915253083fba1bf19cc0b590d911241dc3e6815c93db,78;77;77;76;76,10;9;9;9;9,68;68;68;67;67,TRUE
27,1,20770842,6805b9cd24c27a5aa7bc9fd1875fc5bcdd0f1637b855092149addbac63ff2929,77;77;77;77;76,8;8;8;8;8,69;69;69;69;68,TRUE
27,2,20780842,4181d0a42aef030e858b78f705237ee6e03e8cafdb06dd52e8eca8adea00c2da,77;77;77;77;76,8;8;8;8;8,69;69;69;69;68,TRUE
27,3,20790842,7b1bbb9bedc319cbda11a8b14ae56c5ceb6218acfe0c20a73dc65c411d8e1ce7,77;77;77;77;76,8;8;8;8;8,69;69;69;69;68,TRUE
27,4,20800842,89c5c506396b6f6de6398b4426cc0d646590f9f369eb7cfff5e4f67e1d2f1c8c,77;77;77;77;76,8;8;8;8;8,69;69;69;69;68,TRUE
27,5,20810842,1e00533fc4bc5e9d4f91758a2ae9019393815a807cfd1c29f24a8c7b17ec0617,77;77;77;77;76,8;8;8;8;8,69;69;69;69;68,TRUE
28,1,20770843,845f0e8f7b044f362ea7390fb9ad4bbae0916a16b0533ba868eeb3bbb2f746d9,77;77;77;77;76,7;7;7;7;7,70;70;70;70;69,TRUE
28,2,20780843,433916298433fbc2f2e4740b12785df25d3de02961ea6130c154ade511b328a6,77;77;77;77;76,7;7;7;7;7,70;70;70;70;69,TRUE
28,3,20790843,8edfeea829a8f1a9cf1eeb699b4eec283fe92aee372151a2cb62e56934ce1ae1,77;77;77;77;76,7;7;7;7;7,70;70;70;70;69,TRUE
28,4,20800843,60096306c3b010bf202ebfc2e7b25411fb03ab00b0da5b3ad3c267a255c40888,77;77;77;77;76,7;7;7;7;7,70;70;70;70;69,TRUE
28,5,20810843,8e201f7a4564099f4d4f2be64c70f5020802e9ff9c71f1337d90ab3995cdc0cb,77;77;77;77;76,7;7;7;7;7,70;70;70;70;69,TRUE
29,1,20770844,10cbc63e78bf943e682a5f5c6b89cbfe6300ac3ba48c648b1a779a3fb7fd1507,78;77;77;76;76,10;9;9;9;9,68;68;68;67;67,TRUE
29,2,20780844,7c52157196c1ec30ff2af06e23eeeb10ddadf8233195c4b1caaf52b09c345e6e,78;77;77;76;76,10;9;9;9;9,68;68;68;67;67,TRUE
29,3,20790844,48be241c019e0c41dfbe7eea9dda33e34174dc8075d4e0dd11bfa99776923ab5,78;77;77;76;76,10;9;9;9;9,68;68;68;67;67,TRUE
29,4,20800844,9c917b0364d35b3b8d6ffcae09c4714d04c1affdfedd530ffb43396dbe072faf,78;77;77;76;76,10;9;9;9;9,68;68;68;67;67,TRUE
29,5,20810844,3b4920bbefe36f33d1606d59818c5a99e044a293f58e57a7665b54ed958d66ac,78;77;77;76;76,10;9;9;9;9,68;68;68;67;67,TRUE
30,1,20770845,da8389bd273398e1844f8de99eb610df6d48cad4246eb830daaa453267d00111,77;77;77;77;76,6;6;6;6;6,71;71;71;71;70,TRUE
30,2,20780845,12b1f530dfedffe5786e835d79058eaefe292488911b6a877b5b1d97f631a5b6,77;77;77;77;76,6;6;6;6;6,71;71;71;71;70,TRUE
30,3,20790845,fa7a864d0f89a261a0476816a6d738a499d09d08b056864807448886c4fcdb33,77;77;77;77;76,6;6;6;6;6,71;71;71;71;70,TRUE
30,4,20800845,45e6c13eb07d14878208d49a544a3cbfc13fc0e238bda3061d9a0f7d70c58788,77;77;77;77;76,6;6;6;6;6,71;71;71;71;70,TRUE
30,5,20810845,f82cf086bb8e1c199da1969836a3c3ca48a7b7c042f618b4118ed398a35b853e,77;77;77;77;76,6;6;6;6;6,71;71;71;71;70,TRUE
31,1,20770846,f61ac78f12755ee96e004a814274f69ce83ea5165282fe753335b7dbec2bf072,77;77;77;77;76,11;11;11;11;10,66;66;66;66;66,TRUE
31,2,20780846,fd0cc63ce5db9fb439a67a41d526715df9bf363114c0378de6c177e3316f46e5,77;77;77;77;76,11;11;11;11;10,66;66;66;66;66,TRUE
31,3,20790846,1969609bb93f43959c31bdf03021f73ee6a21a4f7e4a5b938db759d17185a86c,77;77;77;77;76,11;11;11;11;10,66;66;66;66;66,TRUE
31,4,20800846,e4c66b7ec092df9446a71c9698066577a79ccc40cab66f84682e91d7574ae6d8,77;77;77;77;76,11;11;11;11;10,66;66;66;66;66,TRUE
31,5,20810846,b1ec582ce0c1aca6567eca30f26a167fe769b3c35cf7f3ca541919966377bb14,77;77;77;77;76,11;11;11;11;10,66;66;66;66;66,TRUE
32,1,20770847,5800995caa9ea13ab800655c9d466dddd4d357999c7d213746ec0d41a8a45c2d,77;77;77;77;76,5;5;5;5;4,72;72;72;72;72,TRUE
32,2,20780847,ab063d82d2e4300a65ebdd7ea4fd2332ac9584bbcb9c16c5d22be46eef2fbaa9,77;77;77;77;76,5;5;5;5;4,72;72;72;72;72,TRUE
