outcome_type,family,tumor_type,endpoint,n,n_codes,grouped_metric,matched_random_metric,grouped_minus_matched,paired_ci_low,paired_ci_high,bootstrap_resamples,code_only_metric,code_heterogeneity,code_heterogeneity_minimum5,minimum_prevalence_minimum5,maximum_prevalence_minimum5,codes_with_minimum5,minimum_code_n,maximum_code_n,heterogeneity_definition,exact_outer_test_sizes_matched,exact_outer_class_counts_matched,grouped_components_median,matched_components_median,seed
binary,microsatellite_instability,UCEC,MSI-H (MANTIS >0.4),487,29,0.648561989895064,0.675660707345511,-0.027098717450447,-0.0647775839999291,0.00950907108496408,1000,0.463155849203265,1,0.21969696969697,0.166666666666667,0.386363636363636,15,1,76,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,6,9,20260878
binary,microsatellite_instability_sensitivity,COAD,MSI-H strict (MANTIS >0.6),374,24,0.723919420001107,0.75861973545852,-0.0347003154574133,-0.105145718084161,0.0385791833604608,1000,0.440090763185567,1,0.416666666666667,0,0.416666666666667,14,1,120,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,6,9,20260879
binary,microsatellite_instability_sensitivity,STAD,MSI-H strict (MANTIS >0.6),364,22,0.728896103896104,0.725649350649351,0.00324675324675328,-0.0714591557017543,0.0771466066263373,1000,0.552556818181818,1,0.4,0,0.4,10,1,110,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,5,5,20260880
binary,microsatellite_instability_sensitivity,UCEC,MSI-H strict (MANTIS >0.6),438,29,0.703199590816095,0.677909752216413,0.0252898385996818,-0.0197801288215459,0.0663604432382881,1000,0.400687656285519,1,0.284090909090909,0.0909090909090909,0.375,15,1,67,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,10,11,20260881
binary,oncogenic_pathway,ACC,WNT,53,4,0.607575757575758,0.653787878787879,-0.0462121212121213,-0.222881762930851,0.139803265056022,1000,0.437878787878788,1,,0.375,0.375,1,1,48,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,1,4,20260901
binary,oncogenic_pathway,BLCA,TP53,373,33,0.629203350452433,0.627949987772071,0.00125336268036191,-0.045103493712848,0.0472632389792413,1000,0.588805331376865,1,0.623376623376623,0.285714285714286,0.909090909090909,18,1,49,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,6,2,20260905
binary,oncogenic_pathway,BRCA,TP53,942,37,0.743315132428575,0.740256474160002,0.00305865826857299,-0.0134238679710403,0.0199138316066187,1000,0.535106599904842,1,0.37741935483871,0.3,0.67741935483871,20,1,129,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,2,3,20260885
binary,oncogenic_pathway,COAD,MYC,323,24,0.564510271840631,0.596934011205644,-0.0324237393650134,-0.0927930515017418,0.0366742725641784,1000,0.53947914505084,1,0.466666666666667,0,0.466666666666667,14,1,74,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,4,5,20260912
binary,oncogenic_pathway,COAD,TP53,323,24,0.628804347826087,0.64630016722408,-0.0174958193979933,-0.0598387763538653,0.0290207684879015,1000,0.522031772575251,1,0.3,0.5,0.8,14,1,74,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,3,3,20260893
binary,oncogenic_pathway,GBM,TP53,71,8,0.641945773524721,0.656299840510367,-0.0143540669856459,-0.136127392344498,0.11468253968254,1000,0.456539074960128,0.714285714285714,0.314285714285714,0.4,0.714285714285714,6,1,24,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,3,9,20260887
