outcome_type,family,tumor_type,endpoint,size_stratum,imbalance_stratum,n,foundation_model,ridge_q2,ridge_balanced_accuracy,ridge_auc,ridge_pr_auc,ridge_lambda_median,numerical_failures
continuous,fusion,KIRP,Fusion burden,medium,not applicable,265,GigaSSL,0.0142818307811438,,,,9.64049247632269,0
continuous,fusion,KIRP,Fusion burden,medium,not applicable,265,ProvGigaPath,0.0279507761007396,,,,17.0372820338137,0
continuous,fusion,LGG,Fusion burden,large,not applicable,487,TITAN,0.21171764462469,,,,22.6175950599433,0
continuous,fusion,LGG,Fusion burden,large,not applicable,487,GigaSSL,0.125302997781815,,,,5.57834409434487,0
continuous,fusion,LGG,Fusion burden,large,not applicable,487,ProvGigaPath,0.139538314061407,,,,4.59520874435709,0
continuous,fusion,SKCM,Fusion burden,small,not applicable,97,TITAN,0.0260690230510198,,,,11.9126645524725,0
continuous,fusion,SKCM,Fusion burden,small,not applicable,97,GigaSSL,-0.0205468745224058,,,,250.848121221029,0
continuous,fusion,SKCM,Fusion burden,small,not applicable,97,ProvGigaPath,-0.104715754557147,,,,113.712973988719,0
continuous,microsatellite_instability,PAAD,MSIsensor score,medium,not applicable,181,TITAN,-0.0531575790031382,,,,291.846917468651,0
continuous,microsatellite_instability,PAAD,MSIsensor score,medium,not applicable,181,GigaSSL,-0.0420925423347263,,,,276.039975467955,0
continuous,microsatellite_instability,PAAD,MSIsensor score,medium,not applicable,181,ProvGigaPath,-0.038018356466587,,,,316.032578274012,0
continuous,microsatellite_instability,SKCM,MSIsensor score,small,not applicable,74,TITAN,0.0657050632358069,,,,19.2362015863143,0
continuous,microsatellite_instability,SKCM,MSIsensor score,small,not applicable,74,GigaSSL,0.0646876600923229,,,,12.3776164803292,0
continuous,microsatellite_instability,SKCM,MSIsensor score,small,not applicable,74,ProvGigaPath,0.0913596757727855,,,,5.04661132570446,0
continuous,rna_pathway_activity,ACC,HALLMARK_APICAL_SURFACE,small,not applicable,55,TITAN,-0.081253259378768,,,,14.4720916261764,0
continuous,rna_pathway_activity,ACC,HALLMARK_APICAL_SURFACE,small,not applicable,55,GigaSSL,0.0100821058746026,,,,16.349061199867,0
continuous,rna_pathway_activity,ACC,HALLMARK_APICAL_SURFACE,small,not applicable,55,ProvGigaPath,0.0755400678583573,,,,2.19291063797366,0
continuous,rna_pathway_activity,CESC,HALLMARK_GLYCOLYSIS,medium,not applicable,267,TITAN,0.127051058391107,,,,2.38039017002074,0
continuous,rna_pathway_activity,CESC,HALLMARK_GLYCOLYSIS,medium,not applicable,267,GigaSSL,0.0427548494800196,,,,2.50494245650559,0
continuous,rna_pathway_activity,CESC,HALLMARK_GLYCOLYSIS,medium,not applicable,267,ProvGigaPath,0.0537279410636723,,,,2.06906072050424,0
continuous,rna_pathway_activity,UCEC,HALLMARK_CHOLESTEROL_HOMEOSTASIS,large,not applicable,492,TITAN,0.0619845488175639,,,,4.40412181495002,0
continuous,rna_pathway_activity,UCEC,HALLMARK_CHOLESTEROL_HOMEOSTASIS,large,not applicable,492,GigaSSL,0.0466389188385811,,,,3.3180834086307,0
continuous,rna_pathway_activity,UCEC,HALLMARK_CHOLESTEROL_HOMEOSTASIS,large,not applicable,492,ProvGigaPath,0.060083348428385,,,,2.34885180245648,0
continuous,thorsson,LUSC,Th2 Cells,large,not applicable,462,TITAN,0.236922655815089,,,,3876.19081089398,0
continuous,thorsson,LUSC,Th2 Cells,large,not applicable,462,GigaSSL,0.114651799954882,,,,2504.95360338258,0
continuous,thorsson,LUSC,Th2 Cells,large,not applicable,462,ProvGigaPath,0.132721276463601,,,,2457.3224102255,0
continuous,thorsson,PAAD,Number of Segments,medium,not applicable,181,TITAN,0.0214586158178427,,,,9.74602022852498,0
continuous,thorsson,PAAD,Number of Segments,medium,not applicable,181,GigaSSL,0.0259781482235441,,,,11.019655868743,0
continuous,thorsson,PAAD,Number of Segments,medium,not applicable,181,ProvGigaPath,0.0307354793097099,,,,12.1266027811122,0
continuous,thorsson,READ,TCR Richness,small,not applicable,78,TITAN,-0.0884988529225847,,,,1387.57131560007,0
continuous,thorsson,READ,TCR Richness,small,not applicable,78,GigaSSL,-0.0573061135679058,,,,3259.68975579679,0
continuous,thorsson,READ,TCR Richness,small,not applicable,78,ProvGigaPath,-0.0117988993613976,,,,3593.01464365115,0
