family,tumor_type,endpoint,repeat,outer_fold,n,positive,negative,training_patients,training_positive,training_negative,test_patients,test_positive,test_negative,limited_evidence
aneuploidy,PCPG,Genome doubling,2,1,157,24,133,125,19,106,32,5,27,TRUE
aneuploidy,PCPG,Genome doubling,2,2,157,24,133,125,19,106,32,5,27,TRUE
aneuploidy,PCPG,Genome doubling,2,3,157,24,133,125,19,106,32,5,27,TRUE
aneuploidy,PCPG,Genome doubling,2,4,157,24,133,126,19,107,31,5,26,TRUE
aneuploidy,PCPG,Genome doubling,2,5,157,24,133,127,20,107,30,4,26,TRUE
aneuploidy,PCPG,Genome doubling,3,1,157,24,133,125,19,106,32,5,27,TRUE
aneuploidy,PCPG,Genome doubling,3,2,157,24,133,125,19,106,32,5,27,TRUE
aneuploidy,PCPG,Genome doubling,3,3,157,24,133,125,19,106,32,5,27,TRUE
aneuploidy,PCPG,Genome doubling,3,4,157,24,133,126,19,107,31,5,26,TRUE
aneuploidy,PCPG,Genome doubling,3,5,157,24,133,127,20,107,30,4,26,TRUE
aneuploidy,PCPG,Genome doubling,4,1,157,24,133,125,19,106,32,5,27,TRUE
aneuploidy,PCPG,Genome doubling,4,2,157,24,133,125,19,106,32,5,27,TRUE
aneuploidy,PCPG,Genome doubling,4,3,157,24,133,125,19,106,32,5,27,TRUE
aneuploidy,PCPG,Genome doubling,4,4,157,24,133,126,19,107,31,5,26,TRUE
aneuploidy,PCPG,Genome doubling,4,5,157,24,133,127,20,107,30,4,26,TRUE
aneuploidy,PCPG,Genome doubling,5,1,157,24,133,125,19,106,32,5,27,TRUE
aneuploidy,PCPG,Genome doubling,5,2,157,24,133,125,19,106,32,5,27,TRUE
aneuploidy,PCPG,Genome doubling,5,3,157,24,133,125,19,106,32,5,27,TRUE
aneuploidy,PCPG,Genome doubling,5,4,157,24,133,126,19,107,31,5,26,TRUE
aneuploidy,PCPG,Genome doubling,5,5,157,24,133,127,20,107,30,4,26,TRUE
aneuploidy,SARC,Genome doubling,1,1,238,112,126,189,89,100,49,23,26,FALSE
aneuploidy,SARC,Genome doubling,1,2,238,112,126,190,89,101,48,23,25,FALSE
aneuploidy,SARC,Genome doubling,1,3,238,112,126,191,90,101,47,22,25,FALSE
aneuploidy,SARC,Genome doubling,1,4,238,112,126,191,90,101,47,22,25,FALSE
aneuploidy,SARC,Genome doubling,1,5,238,112,126,191,90,101,47,22,25,FALSE
aneuploidy,SARC,Genome doubling,2,1,238,112,126,189,89,100,49,23,26,FALSE
aneuploidy,SARC,Genome doubling,2,2,238,112,126,190,89,101,48,23,25,FALSE
aneuploidy,SARC,Genome doubling,2,3,238,112,126,191,90,101,47,22,25,FALSE
aneuploidy,SARC,Genome doubling,2,4,238,112,126,191,90,101,47,22,25,FALSE
aneuploidy,SARC,Genome doubling,2,5,238,112,126,191,90,101,47,22,25,FALSE
aneuploidy,SARC,Genome doubling,3,1,238,112,126,189,89,100,49,23,26,FALSE
aneuploidy,SARC,Genome doubling,3,2,238,112,126,190,89,101,48,23,25,FALSE
aneuploidy,SARC,Genome doubling,3,3,238,112,126,191,90,101,47,22,25,FALSE
aneuploidy,SARC,Genome doubling,3,4,238,112,126,191,90,101,47,22,25,FALSE
aneuploidy,SARC,Genome doubling,3,5,238,112,126,191,90,101,47,22,25,FALSE
aneuploidy,SARC,Genome doubling,4,1,238,112,126,189,89,100,49,23,26,FALSE
aneuploidy,SARC,Genome doubling,4,2,238,112,126,190,89,101,48,23,25,FALSE
aneuploidy,SARC,Genome doubling,4,3,238,112,126,191,90,101,47,22,25,FALSE
aneuploidy,SARC,Genome doubling,4,4,238,112,126,191,90,101,47,22,25,FALSE
aneuploidy,SARC,Genome doubling,4,5,238,112,126,191,90,101,47,22,25,FALSE
aneuploidy,SARC,Genome doubling,5,1,238,112,126,189,89,100,49,23,26,FALSE
aneuploidy,SARC,Genome doubling,5,2,238,112,126,190,89,101,48,23,25,FALSE
aneuploidy,SARC,Genome doubling,5,3,238,112,126,191,90,101,47,22,25,FALSE
aneuploidy,SARC,Genome doubling,5,4,238,112,126,191,90,101,47,22,25,FALSE
aneuploidy,SARC,Genome doubling,5,5,238,112,126,191,90,101,47,22,25,FALSE
aneuploidy,STAD,Genome doubling,1,1,360,154,206,287,123,164,73,31,42,FALSE
aneuploidy,STAD,Genome doubling,1,2,360,154,206,288,123,165,72,31,41,FALSE
aneuploidy,STAD,Genome doubling,1,3,360,154,206,288,123,165,72,31,41,FALSE
aneuploidy,STAD,Genome doubling,1,4,360,154,206,288,123,165,72,31,41,FALSE
aneuploidy,STAD,Genome doubling,1,5,360,154,206,289,124,165,71,30,41,FALSE
aneuploidy,STAD,Genome doubling,2,1,360,154,206,287,123,164,73,31,42,FALSE
aneuploidy,STAD,Genome doubling,2,2,360,154,206,288,123,165,72,31,41,FALSE
aneuploidy,STAD,Genome doubling,2,3,360,154,206,288,123,165,72,31,41,FALSE
aneuploidy,STAD,Genome doubling,2,4,360,154,206,288,123,165,72,31,41,FALSE
aneuploidy,STAD,Genome doubling,2,5,360,154,206,289,124,165,71,30,41,FALSE
aneuploidy,STAD,Genome doubling,3,1,360,154,206,287,123,164,73,31,42,FALSE
aneuploidy,STAD,Genome doubling,3,2,360,154,206,288,123,165,72,31,41,FALSE
aneuploidy,STAD,Genome doubling,3,3,360,154,206,288,123,165,72,31,41,FALSE
aneuploidy,STAD,Genome doubling,3,4,360,154,206,288,123,165,72,31,41,FALSE
aneuploidy,STAD,Genome doubling,3,5,360,154,206,289,124,165,71,30,41,FALSE
aneuploidy,STAD,Genome doubling,4,1,360,154,206,287,123,164,73,31,42,FALSE
aneuploidy,STAD,Genome doubling,4,2,360,154,206,288,123,165,72,31,41,FALSE
aneuploidy,STAD,Genome doubling,4,3,360,154,206,288,123,165,72,31,41,FALSE
aneuploidy,STAD,Genome doubling,4,4,360,154,206,288,123,165,72,31,41,FALSE
aneuploidy,STAD,Genome doubling,4,5,360,154,206,289,124,165,71,30,41,FALSE
aneuploidy,STAD,Genome doubling,5,1,360,154,206,287,123,164,73,31,42,FALSE
aneuploidy,STAD,Genome doubling,5,2,360,154,206,288,123,165,72,31,41,FALSE
aneuploidy,STAD,Genome doubling,5,3,360,154,206,288,123,165,72,31,41,FALSE
aneuploidy,STAD,Genome doubling,5,4,360,154,206,288,123,165,72,31,41,FALSE
aneuploidy,STAD,Genome doubling,5,5,360,154,206,289,124,165,71,30,41,FALSE
aneuploidy,UCEC,Genome doubling,1,1,477,97,380,381,77,304,96,20,76,FALSE
aneuploidy,UCEC,Genome doubling,1,2,477,97,380,381,77,304,96,20,76,FALSE
aneuploidy,UCEC,Genome doubling,1,3,477,97,380,382,78,304,95,19,76,FALSE
aneuploidy,UCEC,Genome doubling,1,4,477,97,380,382,78,304,95,19,76,FALSE
