foundation_model,outcome_type,family,endpoint,source,eligible_cancers,retained_cancers,retained_cancer_percent,retained_cancer_codes
TITAN,binary,driver_mutation,FGFR2,TCGA_MC3_Bailey2018,1,1,100,UCEC
GigaSSL,binary,driver_mutation,FGFR3,TCGA_MC3_Bailey2018,1,1,100,BLCA
ProvGigaPath,binary,driver_mutation,FGFR3,TCGA_MC3_Bailey2018,1,1,100,BLCA
TITAN,binary,driver_mutation,FGFR3,TCGA_MC3_Bailey2018,1,1,100,BLCA
GigaSSL,binary,driver_mutation,FOXA1,TCGA_MC3_Bailey2018,1,0,0,""
ProvGigaPath,binary,driver_mutation,FOXA1,TCGA_MC3_Bailey2018,1,0,0,""
TITAN,binary,driver_mutation,FOXA1,TCGA_MC3_Bailey2018,1,0,0,""
GigaSSL,binary,driver_mutation,FOXA2,TCGA_MC3_Bailey2018,1,1,100,UCEC
ProvGigaPath,binary,driver_mutation,FOXA2,TCGA_MC3_Bailey2018,1,1,100,UCEC
TITAN,binary,driver_mutation,FOXA2,TCGA_MC3_Bailey2018,1,0,0,""
GigaSSL,binary,driver_mutation,FUBP1,TCGA_MC3_Bailey2018,1,1,100,LGG
ProvGigaPath,binary,driver_mutation,FUBP1,TCGA_MC3_Bailey2018,1,1,100,LGG
TITAN,binary,driver_mutation,FUBP1,TCGA_MC3_Bailey2018,1,1,100,LGG
GigaSSL,binary,driver_mutation,GNA11,TCGA_MC3_Bailey2018,1,0,0,""
ProvGigaPath,binary,driver_mutation,GNA11,TCGA_MC3_Bailey2018,1,0,0,""
TITAN,binary,driver_mutation,GNA11,TCGA_MC3_Bailey2018,1,0,0,""
GigaSSL,binary,driver_mutation,GNAQ,TCGA_MC3_Bailey2018,1,0,0,""
ProvGigaPath,binary,driver_mutation,GNAQ,TCGA_MC3_Bailey2018,1,0,0,""
TITAN,binary,driver_mutation,GNAQ,TCGA_MC3_Bailey2018,1,1,100,UVM
GigaSSL,binary,driver_mutation,GTF2I,TCGA_MC3_Bailey2018,1,1,100,THYM
ProvGigaPath,binary,driver_mutation,GTF2I,TCGA_MC3_Bailey2018,1,1,100,THYM
TITAN,binary,driver_mutation,GTF2I,TCGA_MC3_Bailey2018,1,1,100,THYM
GigaSSL,binary,driver_mutation,HLA-B,TCGA_MC3_Bailey2018,1,0,0,""
ProvGigaPath,binary,driver_mutation,HLA-B,TCGA_MC3_Bailey2018,1,0,0,""
TITAN,binary,driver_mutation,HLA-B,TCGA_MC3_Bailey2018,1,1,100,HNSC
GigaSSL,binary,driver_mutation,HRAS,TCGA_MC3_Bailey2018,1,1,100,HNSC
ProvGigaPath,binary,driver_mutation,HRAS,TCGA_MC3_Bailey2018,1,1,100,HNSC
TITAN,binary,driver_mutation,HRAS,TCGA_MC3_Bailey2018,1,1,100,HNSC
GigaSSL,binary,driver_mutation,HUWE1,TCGA_MC3_Bailey2018,1,1,100,HNSC
ProvGigaPath,binary,driver_mutation,HUWE1,TCGA_MC3_Bailey2018,1,1,100,HNSC
TITAN,binary,driver_mutation,HUWE1,TCGA_MC3_Bailey2018,1,1,100,HNSC
GigaSSL,binary,driver_mutation,IDH1,TCGA_MC3_Bailey2018,1,1,100,LGG
ProvGigaPath,binary,driver_mutation,IDH1,TCGA_MC3_Bailey2018,1,1,100,LGG
TITAN,binary,driver_mutation,IDH1,TCGA_MC3_Bailey2018,1,1,100,LGG
GigaSSL,binary,driver_mutation,IDH2,TCGA_MC3_Bailey2018,1,1,100,LGG
ProvGigaPath,binary,driver_mutation,IDH2,TCGA_MC3_Bailey2018,1,1,100,LGG
TITAN,binary,driver_mutation,IDH2,TCGA_MC3_Bailey2018,1,1,100,LGG
GigaSSL,binary,driver_mutation,INPPL1,TCGA_MC3_Bailey2018,1,0,0,""
ProvGigaPath,binary,driver_mutation,INPPL1,TCGA_MC3_Bailey2018,1,0,0,""
TITAN,binary,driver_mutation,INPPL1,TCGA_MC3_Bailey2018,1,1,100,UCEC
GigaSSL,binary,driver_mutation,KANSL1,TCGA_MC3_Bailey2018,2,1,50,UCEC
ProvGigaPath,binary,driver_mutation,KANSL1,TCGA_MC3_Bailey2018,2,1,50,UCEC
TITAN,binary,driver_mutation,KANSL1,TCGA_MC3_Bailey2018,2,1,50,UCEC
GigaSSL,binary,driver_mutation,KDM6A,TCGA_MC3_Bailey2018,2,0,0,""
ProvGigaPath,binary,driver_mutation,KDM6A,TCGA_MC3_Bailey2018,2,0,0,""
TITAN,binary,driver_mutation,KDM6A,TCGA_MC3_Bailey2018,2,0,0,""
GigaSSL,binary,driver_mutation,KEAP1,TCGA_MC3_Bailey2018,3,2,66.6666666666667,HNSC;LUSC
ProvGigaPath,binary,driver_mutation,KEAP1,TCGA_MC3_Bailey2018,3,1,33.3333333333333,LUAD
TITAN,binary,driver_mutation,KEAP1,TCGA_MC3_Bailey2018,3,3,100,HNSC;LUAD;LUSC
GigaSSL,binary,driver_mutation,KIT,TCGA_MC3_Bailey2018,1,1,100,TGCT
ProvGigaPath,binary,driver_mutation,KIT,TCGA_MC3_Bailey2018,1,1,100,TGCT
TITAN,binary,driver_mutation,KIT,TCGA_MC3_Bailey2018,1,1,100,TGCT
GigaSSL,binary,driver_mutation,KLF5,TCGA_MC3_Bailey2018,1,0,0,""
ProvGigaPath,binary,driver_mutation,KLF5,TCGA_MC3_Bailey2018,1,0,0,""
TITAN,binary,driver_mutation,KLF5,TCGA_MC3_Bailey2018,1,0,0,""
GigaSSL,binary,driver_mutation,KMT2B,TCGA_MC3_Bailey2018,1,0,0,""
ProvGigaPath,binary,driver_mutation,KMT2B,TCGA_MC3_Bailey2018,1,0,0,""
TITAN,binary,driver_mutation,KMT2B,TCGA_MC3_Bailey2018,1,1,100,UCEC
GigaSSL,binary,driver_mutation,KMT2C,TCGA_MC3_Bailey2018,3,0,0,""
ProvGigaPath,binary,driver_mutation,KMT2C,TCGA_MC3_Bailey2018,3,0,0,""
TITAN,binary,driver_mutation,KMT2C,TCGA_MC3_Bailey2018,3,1,33.3333333333333,UCEC
GigaSSL,binary,driver_mutation,KMT2D,TCGA_MC3_Bailey2018,4,0,0,""
ProvGigaPath,binary,driver_mutation,KMT2D,TCGA_MC3_Bailey2018,4,0,0,""
TITAN,binary,driver_mutation,KMT2D,TCGA_MC3_Bailey2018,4,2,50,CESC;HNSC
GigaSSL,binary,driver_mutation,KRAS,TCGA_MC3_Bailey2018,6,2,33.3333333333333,COAD;STAD
