outcome_type,family,tumor_type,endpoint,p_permutation,permutations,permutation_exceedances,permutation_attempted,permutation_stopped_early,p_mc_lower_95,p_mc_upper_95,p_mc_status
continuous,microsatellite_instability,KIRC,MANTIS score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,microsatellite_instability,PAAD,MANTIS score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,microsatellite_instability,MESO,MANTIS score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,microsatellite_instability,UCS,MANTIS score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,microsatellite_instability,THYM,MANTIS score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,microsatellite_instability,THYM,MSIsensor score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,microsatellite_instability,PAAD,MSIsensor score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,microsatellite_instability,ACC,MANTIS score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,microsatellite_instability,KICH,MSIsensor score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,microsatellite_instability,MESO,MSIsensor score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,microsatellite_instability,ACC,MSIsensor score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,microsatellite_instability,UCS,MSIsensor score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,thorsson,TGCT,TGF-beta Response,0.001,999,0,999,FALSE,0,0.00368576286573938,two-sided 95% Clopper-Pearson interval for the null exceedance probability
continuous,thorsson,THYM,Th17 Cells,0.001,999,0,999,FALSE,0,0.00368576286573938,two-sided 95% Clopper-Pearson interval for the null exceedance probability
continuous,thorsson,THCA,Lymphocyte Infiltration Signature Score,0.001,999,0,999,FALSE,0,0.00368576286573938,two-sided 95% Clopper-Pearson interval for the null exceedance probability
continuous,thorsson,BRCA,Wound Healing,0.001,999,0,999,FALSE,0,0.00368576286573938,two-sided 95% Clopper-Pearson interval for the null exceedance probability
continuous,thorsson,THCA,TGF-beta Response,0.001,999,0,999,FALSE,0,0.00368576286573938,two-sided 95% Clopper-Pearson interval for the null exceedance probability
