foundation_model,family,tumor_type,endpoint,n,positive,negative,prevalence,no_skill_pr_auc,rule,balanced_accuracy,sensitivity,specificity,ppv,npv,auroc,pr_auc,ba_crossing_sensitivity,empirical_balanced_accuracy,empirical_sensitivity,empirical_specificity,empirical_ppv,empirical_npv,balanced_accuracy_delta_vs_empirical,sensitivity_delta_vs_empirical,specificity_delta_vs_empirical,ppv_delta_vs_empirical,npv_delta_vs_empirical
ProvGigaPath,driver_mutation,BLCA,ASXL2,384,35,349,0.0911458333333333,0.0911458333333333,empirical training priors,0.479860826852231,0.0571428571428571,0.902578796561605,0.0555555555555556,0.905172413793103,0.46516577977896,0.0906296357816654,FALSE,0.479860826852231,0.0571428571428571,0.902578796561605,0.0555555555555556,0.905172413793103,0,0,0,0,0
TITAN,driver_mutation,BLCA,ASXL2,384,35,349,0.0911458333333333,0.0911458333333333,empirical training priors,0.505689725747032,0.0285714285714286,0.982808022922636,0.142857142857143,0.909814323607427,0.524355300859599,0.107268031331521,FALSE,0.505689725747032,0.0285714285714286,0.982808022922636,0.142857142857143,0.909814323607427,0,0,0,0,0
GigaSSL,driver_mutation,BLCA,ATM,384,53,331,0.138020833333333,0.138020833333333,empirical training priors,0.470900074103631,0.0566037735849057,0.885196374622356,0.0731707317073171,0.854227405247814,0.589921906173403,0.17132695674554,FALSE,0.470900074103631,0.0566037735849057,0.885196374622356,0.0731707317073171,0.854227405247814,0,0,0,0,0
ProvGigaPath,driver_mutation,BLCA,ATM,384,53,331,0.138020833333333,0.138020833333333,empirical training priors,0.507524368694066,0.0754716981132076,0.939577039274924,0.166666666666667,0.863888888888889,0.586672746964601,0.184462002675339,FALSE,0.507524368694066,0.0754716981132076,0.939577039274924,0.166666666666667,0.863888888888889,0,0,0,0,0
TITAN,driver_mutation,BLCA,ATM,384,53,331,0.138020833333333,0.138020833333333,empirical training priors,0.542239069714416,0.150943396226415,0.933534743202417,0.266666666666667,0.872881355932204,0.622698512227099,0.203219560872465,FALSE,0.542239069714416,0.150943396226415,0.933534743202417,0.266666666666667,0.872881355932204,0,0,0,0,0
GigaSSL,driver_mutation,BLCA,CDKN1A,384,37,347,0.0963541666666667,0.0963541666666667,empirical training priors,0.513163018926708,0.0810810810810811,0.945244956772334,0.136363636363636,0.906077348066298,0.482358439130773,0.095943697106168,FALSE,0.513163018926708,0.0810810810810811,0.945244956772334,0.136363636363636,0.906077348066298,0,0,0,0,0
ProvGigaPath,driver_mutation,BLCA,CDKN1A,384,37,347,0.0963541666666667,0.0963541666666667,empirical training priors,0.492990108263884,0.0810810810810811,0.904899135446686,0.0833333333333333,0.902298850574713,0.505335306488044,0.0964212289349133,FALSE,0.492990108263884,0.0810810810810811,0.904899135446686,0.0833333333333333,0.902298850574713,0,0,0,0,0
TITAN,driver_mutation,BLCA,CDKN1A,384,37,347,0.0963541666666667,0.0963541666666667,empirical training priors,0.51261780512501,0.0540540540540541,0.971181556195966,0.166666666666667,0.905913978494624,0.546148453929434,0.141189349292388,FALSE,0.51261780512501,0.0540540540540541,0.971181556195966,0.166666666666667,0.905913978494624,0,0,0,0,0
GigaSSL,driver_mutation,BLCA,CDKN2A,384,24,360,0.0625,0.0625,empirical training priors,0.495833333333333,0,0.991666666666667,0,0.937007874015748,0.547800925925926,0.0886369858973017,FALSE,0.495833333333333,0,0.991666666666667,0,0.937007874015748,0,0,0,0,0
ProvGigaPath,driver_mutation,BLCA,CDKN2A,384,24,360,0.0625,0.0625,empirical training priors,0.509722222222222,0.0416666666666667,0.977777777777778,0.111111111111111,0.938666666666667,0.458912037037037,0.065947057405795,FALSE,0.509722222222222,0.0416666666666667,0.977777777777778,0.111111111111111,0.938666666666667,0,0,0,0,0
TITAN,driver_mutation,BLCA,CDKN2A,384,24,360,0.0625,0.0625,empirical training priors,0.497222222222222,0,0.994444444444444,0,0.93717277486911,0.615393518518519,0.0871992026317924,FALSE,0.497222222222222,0,0.994444444444444,0,0.93717277486911,0,0,0,0,0
