gene,positive,negative,n_profiled,tumor_type,eligibility
TP53,48,5,53,UCS,insufficient_negative
ZBTB7B,6,47,53,UCS,insufficient_positive
BAP1,13,67,80,UVM,insufficient_positive
CYSLTR2,3,77,80,UVM,insufficient_positive
EIF1AX,10,70,80,UVM,insufficient_positive
GNA11,36,44,80,UVM,eligible
GNAQ,40,40,80,UVM,eligible
PLCB4,2,78,80,UVM,insufficient_positive
SF3B1,18,62,80,UVM,insufficient_positive
SRSF2,3,77,80,UVM,insufficient_positive
