"outcome_type","family","subfamily","tumor_type","endpoint","source","foundation_model","n","positive","negative","primary_effect","primary_operating_metric","alternative_partitions","repeat_effect_median","repeat_effect_q25","repeat_effect_q75","crossing_proportion","grouped_effect","matched_random_effect","grouped_minus_matched_effect","primary_best_foundation_model","primary_winner_repeat_proportion","modal_repeat_winner","modal_repeat_winner_proportion","sample_size_stratum","representation"
"binary","driver_mutation","Bailey_tissue_specific_driver","GBM","PIK3CA","TCGA_MC3_Bailey2018","GigaSSL",240,22,218,0.473311092577148,0.473311092577148,5,0.512510425354462,0.5081317764804,0.530650542118432,0,,,,"ProvGigaPath",1,"ProvGigaPath",1,"smaller-sample","Giga-SSL"
"binary","driver_mutation","Bailey_tissue_specific_driver","GBM","PTEN","TCGA_MC3_Bailey2018","GigaSSL",240,53,187,0.597921501362123,0.597921501362123,5,0.583190394511149,0.580163454747251,0.585712844314398,0,0.568358389668046,0.585107456361618,-0.0167490666935728,"TITAN",1,"TITAN",1,"larger-sample","Giga-SSL"
"binary","driver_mutation","Bailey_tissue_specific_driver","GBM","TP53","TCGA_MC3_Bailey2018","GigaSSL",240,52,188,0.669803600654665,0.669803600654665,5,0.709594926350246,0.686272504091653,0.730360065466449,1,0.62939852700491,0.65139116202946,-0.02199263502455,"TITAN",1,"TITAN",1,"larger-sample","Giga-SSL"
"binary","driver_mutation","Bailey_tissue_specific_driver","HNSC","AJUBA","TCGA_MC3_Bailey2018","GigaSSL",431,28,403,0.627880184331797,0.627880184331797,5,0.567972350230415,0.566111308046792,0.575327897908543,0,0.593849698688408,0.350762141084722,0.243087557603687,"TITAN",0,"GigaSSL",0.6,"smaller-sample","Giga-SSL"
"binary","driver_mutation","Bailey_tissue_specific_driver","HNSC","CASP8","TCGA_MC3_Bailey2018","GigaSSL",431,47,384,0.642121010638298,0.642121010638298,5,0.621841755319149,0.614084663120567,0.633200354609929,0.8,0.571974734042553,0.56781914893617,0.00415558510638292,"TITAN",0.6,"TITAN",0.6,"smaller-sample","Giga-SSL"
"binary","driver_mutation","Bailey_tissue_specific_driver","HNSC","CDKN2A","TCGA_MC3_Bailey2018","GigaSSL",431,92,339,0.545241759651148,0.545241759651148,5,0.608920097473387,0.60096832114916,0.612703603950237,0.8,,,,"TITAN",0,"GigaSSL",1,"larger-sample","Giga-SSL"
"binary","driver_mutation","Bailey_tissue_specific_driver","HNSC","EP300","TCGA_MC3_Bailey2018","GigaSSL",431,30,401,0.583624272651704,0.583624272651704,5,0.546799667497922,0.538320864505403,0.577140482128013,0.2,,,,"GigaSSL",0.6,"GigaSSL",0.6,"smaller-sample","Giga-SSL"
"binary","driver_mutation","Bailey_tissue_specific_driver","HNSC","FAT1","TCGA_MC3_Bailey2018","GigaSSL",431,96,335,0.560820895522388,0.560820895522388,5,0.571361940298508,0.571361940298508,0.58202736318408,0,,,,"GigaSSL",1,"GigaSSL",1,"larger-sample","Giga-SSL"
"binary","driver_mutation","Bailey_tissue_specific_driver","HNSC","FBXW7","TCGA_MC3_Bailey2018","GigaSSL",431,28,403,0.551488833746898,0.551488833746898,5,0.553349875930521,0.537220843672457,0.62203119461184,0.4,,,,"GigaSSL",0.6,"GigaSSL",0.6,"smaller-sample","Giga-SSL"
"binary","driver_mutation","Bailey_tissue_specific_driver","HNSC","HLA-B","TCGA_MC3_Bailey2018","GigaSSL",431,20,411,0.536131386861314,0.536131386861314,5,0.513868613138686,0.502676399026764,0.518248175182482,0,0.4838199513382,0.456082725060827,0.0277372262773722,"TITAN",0.8,"TITAN",0.8,"smaller-sample","Giga-SSL"
"binary","driver_mutation","Bailey_tissue_specific_driver","HNSC","HRAS","TCGA_MC3_Bailey2018","GigaSSL",431,27,404,0.632379904657132,0.632379904657132,5,0.64998166483315,0.636505317198387,0.677209387605427,1,0.553722038870554,0.637330399706637,-0.0836083608360836,"TITAN",1,"TITAN",1,"smaller-sample","Giga-SSL"
"binary","driver_mutation","Bailey_tissue_specific_driver","HNSC","HUWE1","TCGA_MC3_Bailey2018","GigaSSL",431,40,391,0.65690537084399,0.65690537084399,5,0.661381074168798,0.657864450127877,0.673017902813299,0.8,0.431393861892583,0.550831202046036,-0.119437340153453,"GigaSSL",0.6,"GigaSSL",0.6,"smaller-sample","Giga-SSL"
"binary","driver_mutation","Bailey_tissue_specific_driver","HNSC","KEAP1","TCGA_MC3_Bailey2018","GigaSSL",431,20,411,0.724087591240876,0.724087591240876,5,0.722384428223844,0.701459854014599,0.724209245742093,1,0.643065693430657,0.450608272506083,0.192457420924574,"GigaSSL",0.8,"GigaSSL",0.8,"smaller-sample","Giga-SSL"
"binary","driver_mutation","Bailey_tissue_specific_driver","HNSC","KMT2D","TCGA_MC3_Bailey2018","GigaSSL",431,66,365,0.506807804068078,0.506807804068078,5,0.527106683271067,0.521336654213367,0.538688252386883,0,0.541137401411374,0.51145703611457,0.0296803652968036,"TITAN",0.8,"TITAN",0.8,"larger-sample","Giga-SSL"
