outer_folds,n_codes,maximum_outer_folds_per_code,minimum_codes_per_outer_fold,exact_outer_test_sizes_matched,exact_outer_class_counts_matched,grouped_fold_hash,matched_fold_hash,error,grouped_job_id,outcome_type,family,subfamily,tumor_type,endpoint,source,n,positive,negative,seed
5,25,1,4,TRUE,TRUE,bdb1e16e8425a44619f21f9a3b8b4e4a610cee70a14d04932c3a558e80851a28,d1fdf2edebff90ce4358e38860e5d59ce75c6a7ed66f3da22e05b98fc6442317,,56,binary,driver_mutation,Bailey_tissue_specific_driver,HNSC,TP53,TCGA_MC3_Bailey2018,431,320,111,20960871
4,4,1,1,TRUE,TRUE,e67b04d3e0c1071f92ec6b2959cc8a05a3b66c3eb2579d929eea01a07f10647b,2011c3ba3fdd2e73cf11c1b0d46ddc9858bdfbdf9efc4756f05e56f4c443cb93,,57,binary,driver_mutation,Bailey_tissue_specific_driver,KICH,TP53,TCGA_MC3_Bailey2018,65,21,44,20960872
5,17,1,2,TRUE,TRUE,e8575103d2794dc2383064380d5bb59a94d22c53cd9f0b20b0a5d3d772d4b81a,d071b16bb67fe646dd0ef48179913ea7146546d69b47e959016edc158935816e,,58,binary,driver_mutation,Bailey_tissue_specific_driver,KIRC,BAP1,TCGA_MC3_Bailey2018,351,35,316,20960873
5,17,1,2,TRUE,TRUE,df1b888feb858a7a1683ae0ddcd56260b20d46014f7015d7ac485b9a67024380,b94f0a67c3aaa7ef05812001121c3922700c8c70a5d7a30b384160ce2b414109,,59,binary,driver_mutation,Bailey_tissue_specific_driver,KIRC,PBRM1,TCGA_MC3_Bailey2018,351,142,209,20960874
5,17,1,3,TRUE,TRUE,53de01cfd5445da624171894896b39ef14f15bd19df5024cdb3c4df9e66f3264,9259a7073e7291eb765d70d2d7cbdf6d3a567e9d0a06ecd869ad1e7a942cccb5,,60,binary,driver_mutation,Bailey_tissue_specific_driver,KIRC,SETD2,TCGA_MC3_Bailey2018,351,47,304,20960875
5,17,1,2,TRUE,TRUE,9d66d79c6c973daf72ea28ca3172695f32bdf8b81f956fbcf2da14cc9bd43160,c8a7e64a7766b3d184fe773e2ee4f59007d1ddcdfc1bd2855a771cc799a7e57b,,61,binary,driver_mutation,Bailey_tissue_specific_driver,KIRC,VHL,TCGA_MC3_Bailey2018,351,160,191,20960876
5,25,1,4,TRUE,TRUE,450042740bc1740d4841ab118b43089a06345c9172bf43889aa82988859ad2c7,ae30706075a367b4e5d4c476986be361759fa6fefc3c79f292645741b9c150dd,,62,binary,driver_mutation,Bailey_tissue_specific_driver,LGG,ATRX,TCGA_MC3_Bailey2018,485,181,304,20960877
5,25,1,4,TRUE,TRUE,cb9c0899ca65b3e69b3fa239d58749384b9163347ccd3d2659c48b45673f486e,9963f78d23b9aeb31a68054f06cfb498548356260b6b476d59aebfd3df92bc4d,,63,binary,driver_mutation,Bailey_tissue_specific_driver,LGG,CIC,TCGA_MC3_Bailey2018,485,105,380,20960878
5,25,1,4,TRUE,TRUE,768c517b0c0bc9621ef72f2b9bfe45fd9504c0e3bfe945c5cabc0c98ef8e04ed,c13df8aa6219d64ae084275982985df0951091eb01093dc397e5bf332329f377,,64,binary,driver_mutation,Bailey_tissue_specific_driver,LGG,EGFR,TCGA_MC3_Bailey2018,485,34,451,20960879
5,25,1,4,TRUE,TRUE,e0c16b9f7ad923a9c1d837c3b25437df205f9139535ffa67ac8e543e63a4ade3,5e5f6aef50e3e7ab818c759fcf531afbbed691732edd6d46ad8a881b65153539,,65,binary,driver_mutation,Bailey_tissue_specific_driver,LGG,FUBP1,TCGA_MC3_Bailey2018,485,44,441,20960880
5,25,1,5,TRUE,TRUE,eb7c8b2e1bee82c73c6b93ebed24948002dcb58e100fcd1b2b6c27cd8220ce8c,5f77dee85bc50f09f64893a29dd27e3396c79720a416a6b66679e95632ba886f,,66,binary,driver_mutation,Bailey_tissue_specific_driver,LGG,IDH1,TCGA_MC3_Bailey2018,485,375,110,20960881
5,25,1,4,TRUE,TRUE,c6774757e25921d6094e636e7ca033ffef5c951dadcb787e12b5b095e0b5c90b,4b2868aeed10ff241f339c011ac715d480616cf55041a05c6089a3e238e39b7b,,67,binary,driver_mutation,Bailey_tissue_specific_driver,LGG,IDH2,TCGA_MC3_Bailey2018,485,20,465,20960882
5,25,1,4,TRUE,TRUE,178d42cb9a4540b0fb426d2da6d75913d2c36acd0e777539a26457c663771831,f018248e34b52ec4904ecfe2ee036351371567a9741ee633c772e210c7726fbc,,68,binary,driver_mutation,Bailey_tissue_specific_driver,LGG,NF1,TCGA_MC3_Bailey2018,485,31,454,20960883
5,25,1,4,TRUE,TRUE,4fdbd2148691d79e62ad1d42bef82923614198234379fa0ce09bebbb10603aa8,da2bd0a7e3118d6ec87142c6ba5783fe86482c7dc98e19d93822a4d60c077f0a,,69,binary,driver_mutation,Bailey_tissue_specific_driver,LGG,NOTCH1,TCGA_MC3_Bailey2018,485,32,453,20960884
5,25,1,4,TRUE,TRUE,4457b9350511d1de6d782169defd182563f6eb63539becf86e42c091a45bd0e9,2d2c83586a5aa1cdbcf957a305957015bd9573471b4604cbbd1bc67015a90261,,70,binary,driver_mutation,Bailey_tissue_specific_driver,LGG,PIK3CA,TCGA_MC3_Bailey2018,485,40,445,20960885
5,25,1,4,TRUE,TRUE,b38d845bb3a86f3f0776e600fbe75aa17a32202a74e28ff61987ccb0392dea2b,697b182f7773b64e626b0396050a8ad6c416fd35d79388488aff813af5fc6a82,,71,binary,driver_mutation,Bailey_tissue_specific_driver,LGG,PTEN,TCGA_MC3_Bailey2018,485,23,462,20960886
5,25,1,4,TRUE,TRUE,b56d792b699720768221a556117657b541c1dc629a844ffe3befb641e36a5e21,9d540f7e3c16d4f330aaa8c1d7264a67b4ddac06bb58e0fa4f1b885884bac65e,,72,binary,driver_mutation,Bailey_tissue_specific_driver,LGG,TP53,TCGA_MC3_Bailey2018,485,232,253,20960887
5,33,1,6,TRUE,TRUE,b65345d5a814240309df6529ac8a750fb7d223a22663b303cd6e681eb54a66a2,5b33f73ee5f9b4e5bceefae12495eb7b766b5883a07556cb6c39673205d76f11,,73,binary,driver_mutation,Bailey_tissue_specific_driver,LIHC,ARID1A,TCGA_MC3_Bailey2018,346,26,320,20960888
