gene,cancer
TP53,CESC
TP53,KICH
TP53,SKCM
TP53,LUAD
TP53,LUSC
TP53,STAD
TP53,BRCA
TP53,ESCA
TP53,GBM
TP53,HNSC
TP53,LIHC
TP53,OV
TP53,PRAD
TP53,LGG
TP53,PAAD
TP53,SARC
TP53,UCS
TSC1,BLCA
TSC2,LIHC
TXNIP,BLCA
U2AF1,UCEC
U2AF1,LAML
U2AF1,PAAD
U2AF1,LUAD
VHL,KIRC
WHSC1,LIHC
WT1,LAML
XPO1,LIHC
ZBTB20,LGG
ZBTB7B,UCS
ZCCHC12,LGG
ZFHX3,UCEC
ZFP36L1,BLCA
ZMYM2,UCEC
ZMYM3,PRAD
ZNF133,OV
ZNF750,ESCA
ZNF750,HNSC
ACVR2A,COAD
AMER1,COAD
APC,COAD
ARID1A,COAD
BRAF,COAD
CTNNB1,COAD
FBXW7,COAD
GNAS,COAD
KRAS,COAD
NRAS,COAD
PCBP1,COAD
PIK3CA,COAD
PTEN,COAD
SMAD2,COAD
SMAD4,COAD
SOX9,COAD
TCF7L2,COAD
TGIF1,COAD
TP53,COAD
ZFP36L2,COAD
ACVR2A,READ
AMER1,READ
APC,READ
ARID1A,READ
BRAF,READ
CTNNB1,READ
FBXW7,READ
GNAS,READ
KRAS,READ
NRAS,READ
PCBP1,READ
PIK3CA,READ
PTEN,READ
SMAD2,READ
SMAD4,READ
SOX9,READ
TCF7L2,READ
TGIF1,READ
TP53,READ
ZFP36L2,READ
