family,tumor_type,endpoint,repeat,training_fraction,sensitivity,specificity,balanced_accuracy,auc,pr_auc,ppv_tcga_prevalence,npv_tcga_prevalence,observed_tcga_prevalence
driver_mutation,THCA,NRAS,5,0.75,0.358974358974359,0.962305986696231,0.660640172835295,0.828244925805901,0.421131444046854,0.451612903225806,0.945533769063181,0.0795918367346939
driver_mutation,THCA,NRAS,1,1,0.358974358974359,0.946784922394679,0.652879640684519,0.819773722212747,0.425634663390017,0.368421052631579,0.944690265486726,0.0795918367346939
driver_mutation,THCA,NRAS,2,1,0.435897435897436,0.957871396895787,0.696884416396611,0.795667746887259,0.426628683978978,0.472222222222222,0.951541850220264,0.0795918367346939
driver_mutation,THCA,NRAS,3,1,0.358974358974359,0.962305986696231,0.660640172835295,0.828074364659731,0.3216111723177,0.451612903225806,0.945533769063181,0.0795918367346939
driver_mutation,THCA,NRAS,4,1,0.384615384615385,0.955654101995565,0.670134743305475,0.776394337369947,0.357969650110005,0.428571428571429,0.947252747252747,0.0795918367346939
driver_mutation,THCA,NRAS,5,1,0.41025641025641,0.960088691796009,0.68517255102621,0.83921769287623,0.400108671808075,0.470588235294118,0.949561403508772,0.0795918367346939
driver_mutation,UVM,GNA11,1,0.5,0.583333333333333,0.613636363636364,0.598484848484849,0.580176767676768,0.499178137286902,0.552631578947369,0.642857142857143,0.45
driver_mutation,UVM,GNA11,2,0.5,0.305555555555556,0.727272727272727,0.516414141414141,0.556186868686869,0.504427041874281,0.478260869565217,0.56140350877193,0.45
driver_mutation,UVM,GNA11,3,0.5,0.472222222222222,0.636363636363636,0.554292929292929,0.626893939393939,0.611843042114747,0.515151515151515,0.595744680851064,0.45
driver_mutation,UVM,GNA11,4,0.5,0.444444444444444,0.727272727272727,0.585858585858586,0.622474747474748,0.621983260235627,0.571428571428571,0.615384615384615,0.45
driver_mutation,UVM,GNA11,5,0.5,0.388888888888889,0.613636363636364,0.501262626262626,0.515782828282828,0.523442998957055,0.451612903225806,0.551020408163265,0.45
driver_mutation,UVM,GNA11,1,0.75,0.527777777777778,0.568181818181818,0.547979797979798,0.534090909090909,0.471085941255477,0.5,0.595238095238095,0.45
