foundation_model,q2,rmse,spearman,sensitivity,specificity,balanced_accuracy,auc,pr_auc,ppv,npv,prevalence,no_skill_pr_auc,crossing,selected_components_median,selected_components_min,selected_components_max,selected_components_ceiling_fraction,stability_job_id,stability_repeat,outcome_type,family,subfamily,tumor_type,endpoint,source,n,positive,negative,seed,effect,primary_union_positive,primary_near_threshold,selection_reason,fastPLS_version,fastPLS_remote_sha
ProvGigaPath,,,,0.5,0.672413793103448,0.586206896551724,0.583949096880131,0.387104201910722,0.424242424242424,0.735849056603774,0.325581395348837,0.325581395348837,FALSE,7,3,20,0.2,3,5,binary,aneuploidy,aneuploidy,CESC,Genome doubling,Taylor2018_TableS2,258,84,174,20810818,0.583949096880131,TRUE,TRUE,union-positive and near-threshold,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
TITAN,,,,0.714285714285714,0.528735632183908,0.621510673234811,0.659961685823755,0.428515578551157,0.422535211267606,0.793103448275862,0.325581395348837,0.325581395348837,TRUE,5,3,5,0,3,5,binary,aneuploidy,aneuploidy,CESC,Genome doubling,Taylor2018_TableS2,258,84,174,20810818,0.659961685823755,TRUE,TRUE,union-positive and near-threshold,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
GigaSSL,,,,0.709090909090909,0.603305785123967,0.656198347107438,0.716178312046081,0.622572903173929,0.549295774647887,0.752577319587629,0.405405405405405,0.405405405405405,TRUE,5,3,7,0,4,1,binary,aneuploidy,aneuploidy,COAD,Genome doubling,Taylor2018_TableS2,407,165,242,20770819,0.716178312046081,TRUE,FALSE,union-positive,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
ProvGigaPath,,,,0.709090909090909,0.632231404958678,0.670661157024793,0.760781367392938,0.697488900319464,0.567961165048544,0.761194029850746,0.405405405405405,0.405405405405405,TRUE,4,4,4,0,4,1,binary,aneuploidy,aneuploidy,COAD,Genome doubling,Taylor2018_TableS2,407,165,242,20770819,0.760781367392938,TRUE,FALSE,union-positive,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
TITAN,,,,0.6,0.723140495867769,0.661570247933884,0.734310042574505,0.656345583591574,0.596385542168675,0.726141078838174,0.405405405405405,0.405405405405405,TRUE,7,5,9,0,4,1,binary,aneuploidy,aneuploidy,COAD,Genome doubling,Taylor2018_TableS2,407,165,242,20770819,0.734310042574505,TRUE,FALSE,union-positive,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
GigaSSL,,,,0.751515151515152,0.607438016528926,0.679476584022039,0.763636363636364,0.694043545470513,0.566210045662101,0.781914893617021,0.405405405405405,0.405405405405405,TRUE,4,4,5,0,4,2,binary,aneuploidy,aneuploidy,COAD,Genome doubling,Taylor2018_TableS2,407,165,242,20780819,0.763636363636364,TRUE,FALSE,union-positive,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
ProvGigaPath,,,,0.684848484848485,0.694214876033058,0.689531680440771,0.771925870272978,0.707048581209521,0.60427807486631,0.763636363636364,0.405405405405405,0.405405405405405,TRUE,4,4,5,0,4,2,binary,aneuploidy,aneuploidy,COAD,Genome doubling,Taylor2018_TableS2,407,165,242,20780819,0.771925870272978,TRUE,FALSE,union-positive,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
TITAN,,,,0.684848484848485,0.681818181818182,0.683333333333333,0.739418983220636,0.666436895371046,0.594736842105263,0.76036866359447,0.405405405405405,0.405405405405405,TRUE,8,7,11,0,4,2,binary,aneuploidy,aneuploidy,COAD,Genome doubling,Taylor2018_TableS2,407,165,242,20780819,0.739418983220636,TRUE,FALSE,union-positive,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
GigaSSL,,,,0.715151515151515,0.640495867768595,0.677823691460055,0.748635111445029,0.681908775136017,0.575609756097561,0.767326732673267,0.405405405405405,0.405405405405405,TRUE,4,2,6,0,4,3,binary,aneuploidy,aneuploidy,COAD,Genome doubling,Taylor2018_TableS2,407,165,242,20790819,0.748635111445029,TRUE,FALSE,union-positive,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
ProvGigaPath,,,,0.703030303030303,0.690082644628099,0.696556473829201,0.777911344853494,0.721007404377631,0.607329842931937,0.773148148148148,0.405405405405405,0.405405405405405,TRUE,4,3,4,0,4,3,binary,aneuploidy,aneuploidy,COAD,Genome doubling,Taylor2018_TableS2,407,165,242,20790819,0.777911344853494,TRUE,FALSE,union-positive,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
TITAN,,,,0.739393939393939,0.673553719008265,0.706473829201102,0.752592036063111,0.659287395389539,0.606965174129353,0.79126213592233,0.405405405405405,0.405405405405405,TRUE,8,4,10,0,4,3,binary,aneuploidy,aneuploidy,COAD,Genome doubling,Taylor2018_TableS2,407,165,242,20790819,0.752592036063111,TRUE,FALSE,union-positive,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
GigaSSL,,,,0.739393939393939,0.611570247933884,0.675482093663912,0.755672426746807,0.687646089316994,0.564814814814815,0.774869109947644,0.405405405405405,0.405405405405405,TRUE,4,3,4,0,4,4,binary,aneuploidy,aneuploidy,COAD,Genome doubling,Taylor2018_TableS2,407,165,242,20800819,0.755672426746807,TRUE,FALSE,union-positive,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
