grouped_job_id,code_only_metric,code_prevalence_or_mean_range,n_codes
568,-0.150292500214483,0.737915479223687,26
569,-0.0927406645765389,0.631101621098678,26
570,0.0913372814071468,0.676210915915494,26
571,0.141190850781169,1.21201377890632,26
572,0.119668801348891,0.976666053659572,26
573,0.0316279573127786,1.66983841965447,26
574,0.030315612941219,1.62439283304691,26
575,0.0986169945552179,0.834022695657907,26
576,0.0179352088823288,1.00540060384262,26
577,-0.104787834866456,0.850646615837315,26
578,0.0373523495494936,0.963499988066049,26
579,0.0622277165280609,0.520128449603856,26
580,0.0225747141987646,0.521882607221463,26
581,0.0939811326697658,1.02817786780281,26
582,-0.0644352731979716,1.15955742397763,26
583,0.0912689704985108,1.01767197665512,26
584,-0.0448362178127419,1.17729759013199,26
585,-0.0635392487105362,0.721422329198473,17
586,-0.142022834637686,0.851089143944675,17
587,-0.0968925231935693,0.416610124958589,17
588,-0.117012530356161,0.643831062541108,17
589,-0.159214575277814,0.53895292743206,17
590,-0.209960637319906,0.762201927700722,17
591,-0.0288609875629595,0.35529088191876,17
592,-0.0399338834983631,0.483491410438821,17
593,-0.0471230809306413,0.568303087358471,17
594,-0.0782935567879703,0.907182175749935,17
595,-0.0909352894197035,0.515145167981825,17
596,-0.11836931376878,0.598185884666909,17
597,-0.165258508211696,0.622629726314392,17
598,-0.114669285378006,1.86534293621351,26
