outcome_type,family,tumor_type,endpoint,highlighted,model_n,high_volume,subgroup_variable,subgroup,subgroup_n,positive,negative,denominator_adequate,reason,q2,rmse,spearman,sensitivity,specificity,balanced_accuracy,auc,pr_auc
continuous,rna_pathway_activity,TGCT,HALLMARK_MYOGENESIS,TRUE,149,FALSE,Broad race,Missing,21,,,FALSE,model has fewer than 200 outcome-labelled patients,,,,,,,,
continuous,rna_pathway_activity,TGCT,HALLMARK_MYOGENESIS,TRUE,149,FALSE,Broad race,White,118,,,FALSE,model has fewer than 200 outcome-labelled patients,,,,,,,,
continuous,rna_pathway_activity,TGCT,HALLMARK_MYOGENESIS,TRUE,149,FALSE,Recorded sex,MALE,133,,,FALSE,model has fewer than 200 outcome-labelled patients,,,,,,,,
continuous,rna_pathway_activity,TGCT,HALLMARK_MYOGENESIS,TRUE,149,FALSE,Recorded sex,Missing,16,,,FALSE,model has fewer than 200 outcome-labelled patients,,,,,,,,
continuous,rna_pathway_activity,TGCT,HALLMARK_NOTCH_SIGNALING,TRUE,149,FALSE,Broad race,Asian,4,,,FALSE,model has fewer than 200 outcome-labelled patients,,,,,,,,
continuous,rna_pathway_activity,TGCT,HALLMARK_NOTCH_SIGNALING,TRUE,149,FALSE,Broad race,Black or African American,6,,,FALSE,model has fewer than 200 outcome-labelled patients,,,,,,,,
continuous,rna_pathway_activity,TGCT,HALLMARK_NOTCH_SIGNALING,TRUE,149,FALSE,Broad race,Missing,21,,,FALSE,model has fewer than 200 outcome-labelled patients,,,,,,,,
continuous,rna_pathway_activity,TGCT,HALLMARK_NOTCH_SIGNALING,TRUE,149,FALSE,Broad race,White,118,,,FALSE,model has fewer than 200 outcome-labelled patients,,,,,,,,
continuous,rna_pathway_activity,TGCT,HALLMARK_NOTCH_SIGNALING,TRUE,149,FALSE,Recorded sex,MALE,133,,,FALSE,model has fewer than 200 outcome-labelled patients,,,,,,,,
continuous,rna_pathway_activity,TGCT,HALLMARK_NOTCH_SIGNALING,TRUE,149,FALSE,Recorded sex,Missing,16,,,FALSE,model has fewer than 200 outcome-labelled patients,,,,,,,,
continuous,thorsson,TGCT,TGF-beta Response,TRUE,148,FALSE,Broad race,Asian,4,,,FALSE,model has fewer than 200 outcome-labelled patients,,,,,,,,
continuous,thorsson,TGCT,TGF-beta Response,TRUE,148,FALSE,Broad race,Black or African American,6,,,FALSE,model has fewer than 200 outcome-labelled patients,,,,,,,,
